Score,AUC,Cohen_d,Rank_Biserial_r,KS_stat,KS_pval,N,Path_mean,Ben_mean,Group,Subset
EMB_cosine_dist,0.8227389966400325,0.33136023404285064,0.6454779932800649,0.49814460769409985,2.9235398520284984e-228,13064,0.008957861147602674,0.002128586599591256,EMB,Indels
EMB_mean_pos_dist,0.7925664928226233,0.6673717109588438,0.5851329856452465,0.43846678447400134,2.892391084519457e-174,13064,4.015658503357412,2.100078380944436,EMB,Indels
EMB_max_pos_dist,0.7852084282724348,0.6431139249816835,0.5704168565448695,0.43522619647929783,1.4106448232086888e-171,13064,4.740792800773017,2.6721651459444704,EMB,Indels
EMB_l2_dist,0.7766046625223701,0.6342709576158878,0.5532093250447403,0.4021117461835348,1.7823207037661565e-145,13064,3.646649234323348,1.797679450263167,EMB,Indels
Global_z_sum_log,0.693299937479374,0.6455817869946876,0.38659987495874804,0.2819195287986258,0.0,54040,1565.8064938707164,1214.7056070003775,Global,All
BW_z_sum_log,0.6925181859411229,0.6421930678470776,0.3850363718822458,0.2814254641979471,0.0,54040,1553.993206125895,1206.3879075582975,BW,All
Composite_mean,0.6870040462042486,0.5441376195334617,0.3740080924084972,0.2719576895606369,0.0,54036,0.37990957802330466,0.2658197633492525,Composite,All
Global_z_mean_abs,0.6846350444232436,0.5344382769255599,0.36927008884648727,0.2693560409731433,0.0,54040,0.7403954596619426,0.521025003847967,Global,All
BW_z_mean_abs,0.6836536388847734,0.5305786321483755,0.36730727776954675,0.2677438425903888,0.0,54040,0.7383446881209123,0.5205871377951503,BW,All
BED_sum_log,0.6730273933396811,0.5652361571410996,0.3460547866793622,0.24969734852494152,0.0,54040,0.4289170679387683,0.22599420268953216,BED,All
BED_mean_abs,0.6728911035936322,0.5490362966915115,0.3457822071872645,0.24975070698239898,0.0,54036,0.02147446792569705,0.010947235716909262,BED,All
Global_z_max_abs,0.6626826788714701,0.49064986963478646,0.3253653577429403,0.2351545745099693,0.0,54040,8.09191348525032,5.540231156793095,Global,All
BED_top3_mean,0.6621203879980433,0.5165871524605005,0.3242407759960866,0.24035999623015292,0.0,54036,0.07019730610688177,0.03428499103178454,BED,All
Composite_top,0.6566169422095403,0.4712687517555992,0.3132338844190805,0.22658633159263558,0.0,54036,3.160688294399004,2.2227837607946084,Composite,All
BW_z_top10_mean,0.6553201146297951,0.4670405071240741,0.31064022925959023,0.22458057414096272,0.0,54040,6.251179282691126,4.4103916773175555,BW,All
BED_max_abs,0.6516473161673655,0.5263310830732771,0.303294632334731,0.22734901889385573,0.0,54036,0.09147095869999947,0.04683728993581605,BED,All
BW_z_max_abs,0.651518764466669,0.4493210130420785,0.303037528933338,0.22013882863979117,0.0,54040,7.74833980625349,5.479539570226146,BW,All
MLM_KL_mean,0.598246056656887,0.3209293852270307,0.19649211331377403,0.16588639362634156,3.141222547068207e-302,54040,0.2504774683982377,0.3134923707716993,MLM,All
|MLM_logprob_delta|,0.5775848231552261,0.2404840078030007,0.15516964631045216,0.1139045258541142,2.9123020983706984e-142,54040,0.640884709269013,0.7948904178681595,MLM,All
MLM_KL_max,0.5425667708577797,0.053113162585762715,0.08513354171555942,0.0806344378689165,2.0754189806688892e-71,54040,0.3042643613905247,0.318958253732381,MLM,All
|MLM_logprob_alt|,0.525474773668551,0.056077064507391375,0.050949547337102,0.06841669586165453,1.6450980343604802e-51,54040,1.4778806681111951,1.5527655759601668,MLM,All
MLM_logprob_alt,0.525474773668551,0.056077064507391375,0.050949547337102,0.06841669586165455,1.645098034360323e-51,54040,-1.4778806681111951,-1.5527655759601668,MLM,All
|MLM_Delta|,0.5156735327131604,0.03539259965649686,0.03134706542632082,0.03403194672410001,1.1481331608682197e-10,40977,0.2922384530026145,0.28379761117763735,MLM,All
MLM_Delta,0.5148226492654716,0.03939401099793727,0.02964529853094322,0.03774793259008902,5.033579737838038e-13,40977,-0.254476763280981,-0.24348860887859403,MLM,All
LLR,0.5146617756505348,0.05082384457912572,0.029323551301069672,0.025624149354151138,3.118516243586173e-06,40977,-1.3563084250086013,-1.2884594723689284,MLM,All
MLM_logprob_delta,0.5144864178035067,0.056875515467543464,0.02897283560701336,0.07636184285414682,4.453034334605642e-64,54040,-0.03952952324741007,0.014451951068211417,MLM,All
|LLR|,0.5099798856981578,0.031213127869296305,0.01995977139631555,0.020750001139994423,0.00031052242909076946,40977,1.560547531020024,1.5270503768854697,MLM,All
MLM_Prior,0.5097963057940278,0.02433687583988242,0.019592611588055586,0.038454630741401985,1.681754461532576e-13,40977,0.3722673565956476,0.3662533819052148,MLM,All
|MLM_logprob_ref|,0.5076936415906974,0.09622572820211371,0.015387283181394817,0.04398857410313678,1.5547187607076362e-21,54040,1.4383511448637851,1.5672175270283784,MLM,All
MLM_logprob_ref,0.5076936415906974,0.09622572820211371,0.015387283181394817,0.043988574103136724,1.554718760707827e-21,54040,-1.4383511448637851,-1.5672175270283784,MLM,All
