signal_category,MLM_category,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
ABSENT,ABSENT,0.8785511363636364,0.0,0.12144886363636363,0.0
ABSENT,WEAK,0.5891891891891892,0.02702702702702703,0.3837837837837838,0.0
ABSENT,MODERATE,0.08012326656394453,0.10631741140215717,0.8135593220338984,0.0
ABSENT,STRONG,0.011111111111111112,0.005555555555555556,0.9833333333333333,0.0
WEAK,ABSENT,0.778584392014519,0.19147005444646098,0.029945553539019964,0.0
WEAK,WEAK,0.3655705996131528,0.30290135396518375,0.33152804642166345,0.0
WEAK,MODERATE,0.03902209685002351,0.22849083215796898,0.7324870709920075,0.0
WEAK,STRONG,0.004155124653739612,0.02631578947368421,0.9695290858725761,0.0
MODERATE,ABSENT,0.1372093023255814,0.7441860465116279,0.1186046511627907,0.0
MODERATE,WEAK,0.03744292237442922,0.6255707762557078,0.336986301369863,0.0
MODERATE,MODERATE,0.029436860068259386,0.13225255972696245,0.8383105802047781,0.0
MODERATE,STRONG,0.003927729772191673,0.014925373134328358,0.98114689709348,0.0
STRONG,ABSENT,0.0,0.1111111111111111,0.8888888888888888,0.0
STRONG,WEAK,0.007692307692307693,0.1,0.8923076923076924,0.0
STRONG,MODERATE,0.017977528089887642,0.008988764044943821,0.9730337078651685,0.0
STRONG,STRONG,0.0,0.0,1.0,0.0
