rationale_mechanism,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
Nonsense / Truncation / NMD,0.5608140085186938,0.2722432560340748,0.16694273544723143,0.0
Missense / Protein function,0.17444409646100845,0.11243344816786721,0.7131224553711243,0.0
Frameshift,0.7233950883239982,0.1999138302455838,0.07669108143041792,0.0
Benign / Neutral / None,0.030827474310438075,0.014061654948620876,0.955110870740941,0.0
Other / Unclassified,0.16133004926108374,0.0960591133004926,0.7426108374384236,0.0
Splicing,0.14722222222222223,0.2361111111111111,0.6166666666666667,0.0
Start codon / Initiation / ORF,0.5243328100470958,0.12872841444270017,0.3469387755102041,0.0
Sequence constraint / Conservation,0.03773584905660377,0.02830188679245283,0.9339622641509434,0.0
Regulatory / Transcriptional,0.15,0.18,0.67,0.0
Stop-loss / Protein extension,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.0
Pharmacogenomic,0.0,0.0,1.0,0.0
Uncertain / Unknown,0.0,0.0,1.0,0.0
3' UTR,0.0,0.0,1.0,0.0
UTR,0.0,0.0,1.0,0.0
