concordance,signal_category,MLM_category,Benign / Neutral / None,MLM / Sequence-constraint signal,Nonsense / Truncation / NMD,Other / Unclassified,Regulatory / Expression,Splicing,Start codon / Initiation / ORF,Uncertain / Unknown
CONCORDANT,ABSENT,ABSENT,0.3216374269005848,0.13450292397660818,0.0,0.5341130604288499,0.001949317738791423,0.0,0.0,0.007797270955165692
CONCORDANT,ABSENT,MODERATE,0.1893939393939394,0.7196969696969697,0.0,0.07954545454545454,0.001893939393939394,0.0,0.0,0.00946969696969697
CONCORDANT,ABSENT,STRONG,0.005649717514124294,0.9943502824858758,0.0,0.0,0.0,0.0,0.0,0.0
CONCORDANT,ABSENT,WEAK,0.7206572769953051,0.08098591549295775,0.0,0.1772300469483568,0.0011737089201877935,0.0,0.0,0.01995305164319249
CONCORDANT,MODERATE,ABSENT,0.0196078431372549,0.0392156862745098,0.0,0.11764705882352941,0.0196078431372549,0.21568627450980393,0.5882352941176471,0.0
CONCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CONCORDANT,MODERATE,MODERATE,0.0005089058524173028,0.4381679389312977,0.004580152671755725,0.03307888040712468,0.15521628498727735,0.04732824427480916,0.32111959287531805,0.0
CONCORDANT,MODERATE,STRONG,0.0,0.6901521216973578,0.0032025620496397116,0.0016012810248198558,0.15612489991993594,0.03362690152121697,0.11529223378702963,0.0
CONCORDANT,MODERATE,WEAK,0.013550135501355014,0.03387533875338753,0.01084010840108401,0.08807588075880758,0.08130081300813008,0.05420054200542006,0.7181571815718157,0.0
CONCORDANT,STRONG,ABSENT,0.0,0.0,0.0,0.0625,0.0,0.3125,0.625,0.0
CONCORDANT,STRONG,MODERATE,0.0,0.04157043879907621,0.0023094688221709007,0.018475750577367205,0.03926096997690531,0.18244803695150116,0.7159353348729792,0.0
CONCORDANT,STRONG,STRONG,0.0,0.14166666666666666,0.0,0.016666666666666666,0.03333333333333333,0.3,0.5083333333333333,0.0
CONCORDANT,STRONG,WEAK,0.0,0.0,0.0,0.008620689655172414,0.02586206896551724,0.15517241379310345,0.8103448275862069,0.0
CONCORDANT,WEAK,ABSENT,0.5151515151515151,0.045454545454545456,0.015151515151515152,0.3333333333333333,0.045454545454545456,0.0,0.030303030303030304,0.015151515151515152
