concordance,signal_category,MLM_category,3' UTR,Benign / Neutral / None,Frameshift,Missense / Protein function,Nonsense / Truncation / NMD,Other / Unclassified,Pharmacogenomic,Regulatory / Transcriptional,Sequence constraint / Conservation,Splicing,Start codon / Initiation / ORF,Stop-loss / Protein extension,UTR,Uncertain / Unknown
CONCORDANT,ABSENT,ABSENT,0.0,0.6881091617933723,0.0,0.02729044834307992,0.0,0.12475633528265107,0.0,0.0,0.08382066276803118,0.07017543859649122,0.0,0.0,0.0,0.005847953216374269
CONCORDANT,ABSENT,MODERATE,0.0,0.2518939393939394,0.0,0.6003787878787878,0.0,0.06628787878787878,0.0,0.011363636363636364,0.056818181818181816,0.007575757575757576,0.003787878787878788,0.0,0.0,0.001893939393939394
CONCORDANT,ABSENT,STRONG,0.0,0.005649717514124294,0.0,0.9265536723163842,0.0,0.02824858757062147,0.0,0.011299435028248588,0.01694915254237288,0.011299435028248588,0.0,0.0,0.0,0.0
CONCORDANT,ABSENT,WEAK,0.0,0.5610328638497653,0.0011737089201877935,0.13849765258215962,0.0,0.06338028169014084,0.0035211267605633804,0.0,0.20657276995305165,0.023474178403755867,0.0,0.0,0.0011737089201877935,0.0011737089201877935
CONCORDANT,MODERATE,ABSENT,0.0,0.0784313725490196,0.0392156862745098,0.0784313725490196,0.21568627450980393,0.09803921568627451,0.0,0.0,0.0196078431372549,0.21568627450980393,0.2549019607843137,0.0,0.0,0.0
CONCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CONCORDANT,MODERATE,MODERATE,0.0005089058524173028,0.014249363867684479,0.02748091603053435,0.5343511450381679,0.26463104325699743,0.05343511450381679,0.002035623409669211,0.017811704834605598,0.00916030534351145,0.04732824427480916,0.027989821882951654,0.0005089058524173028,0.0,0.0005089058524173028
CONCORDANT,MODERATE,STRONG,0.0,0.0,0.012810248198558846,0.734187349879904,0.07926341072858287,0.05604483586869496,0.0008006405124099279,0.02722177742193755,0.009607686148919135,0.04803843074459568,0.032025620496397116,0.0,0.0,0.0
CONCORDANT,MODERATE,WEAK,0.0,0.06910569105691057,0.08807588075880758,0.08265582655826559,0.575880758807588,0.05013550135501355,0.0013550135501355014,0.008130081300813009,0.017615176151761516,0.05013550135501355,0.051490514905149054,0.0027100271002710027,0.0,0.0027100271002710027
CONCORDANT,STRONG,ABSENT,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.3125,0.5,0.0,0.0,0.0
CONCORDANT,STRONG,MODERATE,0.0,0.0,0.06235565819861432,0.07852193995381063,0.5496535796766744,0.03926096997690531,0.0,0.0023094688221709007,0.011547344110854504,0.19861431870669746,0.057736720554272515,0.0,0.0,0.0
CONCORDANT,STRONG,STRONG,0.0,0.0,0.041666666666666664,0.16666666666666666,0.3416666666666667,0.05,0.0,0.008333333333333333,0.0,0.30833333333333335,0.08333333333333333,0.0,0.0,0.0
CONCORDANT,STRONG,WEAK,0.0,0.008620689655172414,0.05172413793103448,0.034482758620689655,0.5258620689655172,0.02586206896551724,0.0,0.017241379310344827,0.0,0.13793103448275862,0.19827586206896552,0.0,0.0,0.0
CONCORDANT,WEAK,ABSENT,0.015151515151515152,0.5757575757575758,0.0,0.030303030303030304,0.015151515151515152,0.15151515151515152,0.0,0.0,0.18181818181818182,0.030303030303030304,0.0,0.0,0.0,0.0
CONCORDANT,WEAK,MODERATE,0.0,0.1495507060333761,0.0,0.6816431322207959,0.006418485237483954,0.0693196405648267,0.0019255455712451862,0.021181001283697046,0.057766367137355584,0.010911424903722721,0.0006418485237483953,0.0,0.0,0.0006418485237483953
CONCORDANT,WEAK,STRONG,0.0,0.004285714285714286,0.0,0.9114285714285715,0.002857142857142857,0.03428571428571429,0.0,0.018571428571428572,0.004285714285714286,0.015714285714285715,0.007142857142857143,0.0,0.0,0.0014285714285714286
CONCORDANT,WEAK,WEAK,0.0,0.5169194865810969,0.002333722287047841,0.17269544924154026,0.002333722287047841,0.06884480746791131,0.004667444574095682,0.0011668611435239206,0.2193698949824971,0.008168028004667444,0.0,0.0,0.0,0.003500583430571762
DISCORDANT,ABSENT,ABSENT,0.0,0.0,0.23470762597682565,0.03664780382646187,0.6615467528967933,0.012126111560226353,0.0,0.0013473457289140394,0.0010778765831312314,0.007275666936135812,0.04149824845055241,0.00377256804095931,0.0,0.0
DISCORDANT,ABSENT,DISCORDANT,0.0,0.0,0.2222222222222222,0.06666666666666667,0.6333333333333333,0.011111111111111112,0.0,0.0,0.0,0.022222222222222223,0.044444444444444446,0.0,0.0,0.0
DISCORDANT,ABSENT,MODERATE,0.0,0.0,0.07692307692307693,0.46153846153846156,0.28846153846153844,0.038461538461538464,0.0,0.038461538461538464,0.0,0.057692307692307696,0.038461538461538464,0.0,0.0,0.0
DISCORDANT,ABSENT,STRONG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,ABSENT,WEAK,0.0,0.0,0.18577981651376146,0.2607033639143731,0.4533639143730887,0.024464831804281346,0.0,0.005351681957186544,0.0015290519877675841,0.016055045871559634,0.04892966360856269,0.00382262996941896,0.0,0.0
DISCORDANT,MODERATE,ABSENT,0.0,0.0,0.0847457627118644,0.5932203389830508,0.1864406779661017,0.03389830508474576,0.0,0.05084745762711865,0.0,0.01694915254237288,0.03389830508474576,0.0,0.0,0.0
DISCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,0.625,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
DISCORDANT,MODERATE,MODERATE,0.0,0.4927536231884058,0.0,0.2753623188405797,0.0,0.043478260869565216,0.0,0.0,0.17391304347826086,0.014492753623188406,0.0,0.0,0.0,0.0
DISCORDANT,MODERATE,STRONG,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,MODERATE,WEAK,0.0,0.06097560975609756,0.024390243902439025,0.7560975609756098,0.06097560975609756,0.0,0.0,0.012195121951219513,0.012195121951219513,0.06097560975609756,0.012195121951219513,0.0,0.0,0.0
DISCORDANT,STRONG,MODERATE,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,STRONG,WEAK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,ABSENT,0.0,0.0,0.2062937062937063,0.10314685314685315,0.6177156177156177,0.013403263403263404,0.0,0.002913752913752914,0.0005827505827505828,0.01282051282051282,0.039627039627039624,0.0034965034965034965,0.0,0.0
DISCORDANT,WEAK,DISCORDANT,0.0,0.0,0.1,0.26,0.62,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,MODERATE,0.0,0.060240963855421686,0.08433734939759036,0.5180722891566265,0.20481927710843373,0.03614457831325301,0.0,0.0,0.012048192771084338,0.08433734939759036,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,STRONG,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,WEAK,0.0,0.0,0.1724867724867725,0.24867724867724866,0.491005291005291,0.020105820105820106,0.0,0.007407407407407408,0.0031746031746031746,0.014814814814814815,0.04021164021164021,0.0021164021164021165,0.0,0.0
PARTIAL,ABSENT,MODERATE,0.0,0.0,0.11594202898550725,0.463768115942029,0.3188405797101449,0.0,0.0,0.0,0.014492753623188406,0.057971014492753624,0.028985507246376812,0.0,0.0,0.0
PARTIAL,ABSENT,STRONG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL,ABSENT,WEAK,0.0,0.0,0.016666666666666666,0.8666666666666667,0.0,0.05,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0
PARTIAL,MODERATE,ABSENT,0.0,0.0,0.146875,0.203125,0.58125,0.009375,0.0,0.015625,0.0,0.025,0.015625,0.003125,0.0,0.0
PARTIAL,MODERATE,DISCORDANT,0.0,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
PARTIAL,MODERATE,MODERATE,0.0,0.07419354838709677,0.11290322580645161,0.25483870967741934,0.3580645161290323,0.041935483870967745,0.0,0.02903225806451613,0.025806451612903226,0.08387096774193549,0.01935483870967742,0.0,0.0,0.0
PARTIAL,MODERATE,STRONG,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.8421052631578947,0.05263157894736842,0.0,0.0,0.0
