signal_category,MLM_category,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
ABSENT,ABSENT,0.902015113350126,0.0,0.09798488664987405,0.0
ABSENT,WEAK,0.9126679462571977,0.003838771593090211,0.08349328214971209,0.0
ABSENT,MODERATE,0.4067796610169492,0.559322033898305,0.03389830508474576,0.0
ABSENT,STRONG,1.0,0.0,0.0,0.0
WEAK,ABSENT,0.7793068297655453,0.20948012232415902,0.011213047910295617,0.0
WEAK,WEAK,0.5076810534016094,0.4579370885149963,0.03438185808339429,0.0
WEAK,MODERATE,0.07231920199501247,0.9027431421446384,0.02493765586034913,0.0
WEAK,STRONG,0.0,0.8,0.2,0.0
MODERATE,ABSENT,0.0706713780918728,0.872791519434629,0.05653710247349823,0.0
MODERATE,WEAK,0.0072507552870090634,0.6761329305135951,0.3166163141993958,0.0
MODERATE,MODERATE,0.0,0.21722365038560412,0.7827763496143959,0.0
MODERATE,STRONG,0.0,0.06293706293706294,0.9370629370629371,0.0
STRONG,ABSENT,0.0,0.0,1.0,0.0
STRONG,WEAK,0.0,0.0,1.0,0.0
STRONG,MODERATE,0.0,0.0,1.0,0.0
STRONG,STRONG,0.0,0.0,1.0,0.0
