rationale_mechanism,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
Nonsense / Truncation / NMD,0.5637943346822185,0.27350630802189957,0.16269935729588195,0.0
Frameshift,0.7237068965517242,0.19956896551724138,0.07672413793103448,0.0
Start codon / Initiation / ORF,0.8067632850241546,0.18115942028985507,0.012077294685990338,0.0
Benign / Neutral / None,0.0,0.0,1.0,0.0
Other / Unclassified,0.38095238095238093,0.1836734693877551,0.43537414965986393,0.0
Splicing,0.2375886524822695,0.2553191489361702,0.5070921985815603,0.0
Missense / Protein function,0.40594059405940597,0.3069306930693069,0.2871287128712871,0.0
Sequence constraint / Conservation,0.05454545454545454,0.07272727272727272,0.8727272727272727,0.0
Stop-loss / Protein extension,0.675,0.3,0.025,0.0
Uncertain / Unknown,0.0,0.0,1.0,0.0
Regulatory / Transcriptional,0.3333333333333333,0.16666666666666666,0.5,0.0
3' UTR,0.0,0.0,1.0,0.0
UTR,0.0,0.0,1.0,0.0
