concordance,signal_category,MLM_category,Benign / Neutral / None,MLM / Sequence-constraint signal,Nonsense / Truncation / NMD,Other / Unclassified,Regulatory / Expression,Splicing,Start codon / Initiation / ORF
CONCORDANT,ABSENT,ABSENT,0.14395886889460155,0.17737789203084833,0.0,0.6786632390745502,0.0,0.0,0.0
CONCORDANT,ABSENT,MODERATE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CONCORDANT,ABSENT,WEAK,0.08045977011494253,0.3448275862068966,0.0,0.5747126436781609,0.0,0.0,0.0
CONCORDANT,MODERATE,ABSENT,0.0,0.0,0.0,0.0,0.0,0.125,0.875
CONCORDANT,MODERATE,MODERATE,0.0,0.0361247947454844,0.0049261083743842365,0.006568144499178982,0.009852216748768473,0.05090311986863711,0.8916256157635468
CONCORDANT,MODERATE,STRONG,0.0,0.2462686567164179,0.014925373134328358,0.007462686567164179,0.03731343283582089,0.029850746268656716,0.664179104477612
CONCORDANT,MODERATE,WEAK,0.0,0.015267175572519083,0.013358778625954198,0.0057251908396946565,0.011450381679389313,0.03435114503816794,0.9198473282442748
CONCORDANT,STRONG,ABSENT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CONCORDANT,STRONG,MODERATE,0.0,0.009404388714733543,0.0,0.006269592476489028,0.0,0.11285266457680251,0.8714733542319749
CONCORDANT,STRONG,STRONG,0.0,0.018518518518518517,0.0,0.037037037037037035,0.0,0.1111111111111111,0.8333333333333334
CONCORDANT,STRONG,WEAK,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.05555555555555555,0.9166666666666666
CONCORDANT,WEAK,ABSENT,0.18181818181818182,0.09090909090909091,0.0,0.6818181818181818,0.045454545454545456,0.0,0.0
CONCORDANT,WEAK,MODERATE,0.1,0.8,0.0,0.0,0.0,0.0,0.1
CONCORDANT,WEAK,STRONG,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
CONCORDANT,WEAK,WEAK,0.02127659574468085,0.5106382978723404,0.0,0.46808510638297873,0.0,0.0,0.0
DISCORDANT,ABSENT,ABSENT,0.2046914269757051,0.6121195196872382,0.00027925160569673273,0.17955878246299917,0.0,0.00027925160569673273,0.0030717676626640603
DISCORDANT,ABSENT,DISCORDANT,0.17857142857142858,0.6071428571428571,0.0,0.21428571428571427,0.0,0.0,0.0
DISCORDANT,ABSENT,MODERATE,0.0,0.9583333333333334,0.0,0.041666666666666664,0.0,0.0,0.0
DISCORDANT,ABSENT,STRONG,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,ABSENT,WEAK,0.046267087276550996,0.9116719242902208,0.0,0.04100946372239748,0.0010515247108307045,0.0,0.0
DISCORDANT,MODERATE,ABSENT,0.0,0.05,0.0,0.55,0.25,0.05,0.1
DISCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
DISCORDANT,MODERATE,WEAK,0.0,0.08333333333333333,0.0,0.75,0.16666666666666666,0.0,0.0
DISCORDANT,WEAK,ABSENT,0.04970568999345978,0.671026814911707,0.0,0.131458469587966,0.030085022890778287,0.013080444735120994,0.10464355788096795
DISCORDANT,WEAK,DISCORDANT,0.0945945945945946,0.5945945945945946,0.0,0.17567567567567569,0.0,0.013513513513513514,0.12162162162162163
DISCORDANT,WEAK,MODERATE,0.0,0.9310344827586207,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0
DISCORDANT,WEAK,WEAK,0.024495677233429394,0.8515850144092219,0.0,0.08213256484149856,0.005763688760806916,0.004322766570605188,0.03170028818443804
PARTIAL,ABSENT,MODERATE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PARTIAL,ABSENT,WEAK,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PARTIAL,MODERATE,ABSENT,0.0,0.04048582995951417,0.004048582995951417,0.11740890688259109,0.10526315789473684,0.048582995951417005,0.6842105263157895
PARTIAL,MODERATE,DISCORDANT,0.0,0.2,0.0,0.2,0.0,0.2,0.4
PARTIAL,MODERATE,MODERATE,0.0,0.41420118343195267,0.005917159763313609,0.11242603550295859,0.07100591715976332,0.04142011834319527,0.35502958579881655
PARTIAL,MODERATE,STRONG,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
PARTIAL,MODERATE,WEAK,0.0,0.08579088471849866,0.0008936550491510277,0.058981233243967826,0.05093833780160858,0.07149240393208221,0.7319034852546917
PARTIAL,WEAK,ABSENT,0.0,0.20194647201946472,0.0024330900243309003,0.051094890510948905,0.012165450121654502,0.0267639902676399,0.7055961070559611
PARTIAL,WEAK,DISCORDANT,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.07692307692307693,0.5384615384615384
PARTIAL,WEAK,MODERATE,0.0,0.8839779005524862,0.0027624309392265192,0.011049723756906077,0.0,0.008287292817679558,0.09392265193370165
PARTIAL,WEAK,STRONG,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PARTIAL,WEAK,WEAK,0.0,0.41533546325878595,0.011182108626198083,0.051118210862619806,0.019169329073482427,0.01757188498402556,0.48562300319488816
