signal_category,MLM_category,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
ABSENT,ABSENT,0.5118110236220472,0.0,0.4881889763779528,0.0
ABSENT,WEAK,0.3030560271646859,0.04753820033955857,0.6494057724957555,0.0
ABSENT,MODERATE,0.04745762711864407,0.061016949152542375,0.8915254237288136,0.0
ABSENT,STRONG,0.00558659217877095,0.00558659217877095,0.9888268156424581,0.0
WEAK,ABSENT,0.7727272727272727,0.045454545454545456,0.18181818181818182,0.0
WEAK,WEAK,0.20607553366174056,0.12889983579638753,0.6650246305418719,0.0
WEAK,MODERATE,0.031286210892236384,0.07184241019698726,0.8968713789107764,0.0
WEAK,STRONG,0.004243281471004243,0.009900990099009901,0.9858557284299858,0.0
MODERATE,ABSENT,0.2653061224489796,0.4965986394557823,0.23809523809523808,0.0
MODERATE,WEAK,0.1308411214953271,0.4691588785046729,0.4,0.0
MODERATE,MODERATE,0.044061302681992334,0.09003831417624521,0.8659003831417624,0.0
MODERATE,STRONG,0.004424778761061947,0.008849557522123894,0.9867256637168141,0.0
STRONG,ABSENT,0.0,0.11764705882352941,0.8823529411764706,0.0
STRONG,WEAK,0.017241379310344827,0.22413793103448276,0.7586206896551724,0.0
STRONG,MODERATE,0.06349206349206349,0.031746031746031744,0.9047619047619048,0.0
STRONG,STRONG,0.0,0.0,1.0,0.0
