rationale_mechanism,DISCORDANT,PARTIAL,CONCORDANT,NOT_APPLICABLE
Missense / Protein function,0.1707239459029435,0.10930787589498807,0.7199681782020684,0.0
Benign / Neutral / None,0.03872282608695652,0.017663043478260868,0.9436141304347826,0.0
Sequence constraint / Conservation,0.03614457831325301,0.024096385542168676,0.9397590361445783,0.0
Other / Unclassified,0.03667953667953668,0.04633204633204633,0.916988416988417,0.0
Splicing,0.08904109589041095,0.2237442922374429,0.6872146118721462,0.0
Start codon / Initiation / ORF,0.0,0.03139013452914798,0.968609865470852,0.0
Regulatory / Transcriptional,0.14432989690721648,0.18041237113402062,0.6752577319587629,0.0
Nonsense / Truncation / NMD,0.06,0.06,0.88,0.0
Pharmacogenomic,0.0,0.0,1.0,0.0
Uncertain / Unknown,0.0,0.0,1.0,0.0
Stop-loss / Protein extension,0.0,0.0,1.0,0.0
Frameshift,0.0,1.0,0.0,0.0
3' UTR,0.0,0.0,1.0,0.0
