concordance,signal_category,MLM_category,3' UTR,Benign / Neutral / None,Frameshift,Missense / Protein function,Nonsense / Truncation / NMD,Other / Unclassified,Pharmacogenomic,Regulatory / Transcriptional,Sequence constraint / Conservation,Splicing,Start codon / Initiation / ORF,Stop-loss / Protein extension,Uncertain / Unknown
CONCORDANT,ABSENT,ABSENT,0.0,0.6532258064516129,0.0,0.08064516129032258,0.0,0.14516129032258066,0.0,0.0,0.12096774193548387,0.0,0.0,0.0,0.0
CONCORDANT,ABSENT,MODERATE,0.0,0.2509505703422053,0.0,0.6007604562737643,0.0,0.06653992395437262,0.0,0.011406844106463879,0.057034220532319393,0.0076045627376425855,0.0038022813688212928,0.0,0.0019011406844106464
CONCORDANT,ABSENT,STRONG,0.0,0.005649717514124294,0.0,0.9265536723163842,0.0,0.02824858757062147,0.0,0.011299435028248588,0.01694915254237288,0.011299435028248588,0.0,0.0,0.0
CONCORDANT,ABSENT,WEAK,0.0,0.5516339869281046,0.0,0.15294117647058825,0.0,0.05751633986928104,0.00392156862745098,0.0,0.21568627450980393,0.01699346405228758,0.0,0.0,0.00130718954248366
CONCORDANT,MODERATE,ABSENT,0.0,0.11428571428571428,0.0,0.11428571428571428,0.0,0.11428571428571428,0.0,0.0,0.02857142857142857,0.2571428571428571,0.37142857142857144,0.0,0.0
CONCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CONCORDANT,MODERATE,MODERATE,0.0007374631268436578,0.02064896755162242,0.0,0.7676991150442478,0.008849557522123894,0.06710914454277286,0.0029498525073746312,0.025073746312684365,0.012536873156342183,0.05457227138643068,0.03982300884955752,0.0,0.0
CONCORDANT,MODERATE,STRONG,0.0,0.0,0.0,0.8197309417040358,0.009865470852017937,0.04663677130044843,0.0008968609865470852,0.029596412556053813,0.010762331838565023,0.04753363228699552,0.03497757847533632,0.0,0.0
CONCORDANT,MODERATE,WEAK,0.0,0.22429906542056074,0.0,0.2616822429906542,0.014018691588785047,0.1308411214953271,0.004672897196261682,0.02336448598130841,0.056074766355140186,0.10747663551401869,0.16355140186915887,0.009345794392523364,0.004672897196261682
CONCORDANT,STRONG,ABSENT,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.5333333333333333,0.0,0.0
CONCORDANT,STRONG,MODERATE,0.0,0.0,0.0,0.2894736842105263,0.02631578947368421,0.07894736842105263,0.0,0.008771929824561403,0.0,0.37719298245614036,0.21929824561403508,0.0,0.0
CONCORDANT,STRONG,STRONG,0.0,0.0,0.0,0.2878787878787879,0.045454545454545456,0.06060606060606061,0.0,0.015151515151515152,0.0,0.4393939393939394,0.15151515151515152,0.0,0.0
CONCORDANT,STRONG,WEAK,0.0,0.0,0.0,0.09090909090909091,0.022727272727272728,0.045454545454545456,0.0,0.045454545454545456,0.0,0.2727272727272727,0.5227272727272727,0.0,0.0
CONCORDANT,WEAK,ABSENT,0.0,0.5227272727272727,0.0,0.045454545454545456,0.022727272727272728,0.1590909090909091,0.0,0.0,0.25,0.0,0.0,0.0,0.0
CONCORDANT,WEAK,MODERATE,0.0,0.14987080103359174,0.0,0.6854005167958657,0.003875968992248062,0.06718346253229975,0.001937984496124031,0.02131782945736434,0.05813953488372093,0.010981912144702842,0.0006459948320413437,0.0,0.0006459948320413437
CONCORDANT,WEAK,STRONG,0.0,0.0028694404591104736,0.0,0.9139167862266858,0.0028694404591104736,0.03443328550932568,0.0,0.018651362984218076,0.0028694404591104736,0.015781922525107604,0.007173601147776184,0.0,0.0014347202295552368
CONCORDANT,WEAK,WEAK,0.0,0.5135802469135803,0.0,0.18024691358024691,0.0024691358024691358,0.05802469135802469,0.0049382716049382715,0.0012345679012345679,0.23209876543209876,0.007407407407407408,0.0,0.0,0.0
DISCORDANT,ABSENT,ABSENT,0.0,0.0,0.0,0.9230769230769231,0.0,0.007692307692307693,0.0,0.03076923076923077,0.015384615384615385,0.023076923076923078,0.0,0.0,0.0
DISCORDANT,ABSENT,DISCORDANT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,ABSENT,MODERATE,0.0,0.0,0.0,0.8571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0
DISCORDANT,ABSENT,STRONG,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,ABSENT,WEAK,0.0,0.0,0.0,0.9299719887955182,0.0,0.014005602240896359,0.0,0.01680672268907563,0.0028011204481792717,0.036414565826330535,0.0,0.0,0.0
DISCORDANT,MODERATE,ABSENT,0.0,0.0,0.0,0.8717948717948718,0.0,0.05128205128205128,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
DISCORDANT,MODERATE,DISCORDANT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,MODERATE,MODERATE,0.0,0.4927536231884058,0.0,0.2753623188405797,0.0,0.043478260869565216,0.0,0.0,0.17391304347826086,0.014492753623188406,0.0,0.0,0.0
DISCORDANT,MODERATE,STRONG,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,MODERATE,WEAK,0.0,0.07142857142857142,0.0,0.8857142857142857,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0
DISCORDANT,STRONG,MODERATE,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,STRONG,WEAK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,ABSENT,0.0,0.0,0.0,0.893048128342246,0.0106951871657754,0.016042780748663103,0.0,0.026737967914438502,0.0053475935828877,0.0481283422459893,0.0,0.0,0.0
DISCORDANT,WEAK,DISCORDANT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,MODERATE,0.0,0.09259259259259259,0.0,0.7962962962962963,0.0,0.0,0.0,0.0,0.018518518518518517,0.09259259259259259,0.0,0.0,0.0
DISCORDANT,WEAK,STRONG,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DISCORDANT,WEAK,WEAK,0.0,0.0,0.0,0.9203187250996016,0.00398406374501992,0.01195219123505976,0.0,0.027888446215139442,0.01195219123505976,0.02390438247011952,0.0,0.0,0.0
PARTIAL,ABSENT,MODERATE,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0
PARTIAL,ABSENT,STRONG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARTIAL,ABSENT,WEAK,0.0,0.0,0.0,0.9285714285714286,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.03571428571428571,0.0,0.0
PARTIAL,MODERATE,ABSENT,0.0,0.0,0.0,0.8493150684931506,0.0,0.0136986301369863,0.0,0.0684931506849315,0.0,0.0684931506849315,0.0,0.0,0.0
PARTIAL,MODERATE,DISCORDANT,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PARTIAL,MODERATE,MODERATE,0.0,0.16312056737588654,0.0,0.5390070921985816,0.0,0.05673758865248227,0.0,0.06382978723404255,0.05673758865248227,0.09929078014184398,0.02127659574468085,0.0,0.0
PARTIAL,MODERATE,STRONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
