Consequence,BED_Element,Med_|Δ|_Pathogenic,Med_|Δ|_Benign,Difference,P_value,Effect_Size_r,N_Pathogenic,N_Benign
Truncation / Stop,ORF,0.04954874515533447,0.007959365844726562,0.04158937931060791,1.0177779990564421e-105,0.6511549540062564,10375,389
Splicing,intron,0.03952331840991974,0.00606440007686615,0.03345891833305359,2.9248650750836944e-32,0.6334906897456072,1845,124
Frameshift,ORF,0.0435357391834259,0.014276474714279175,0.02925926446914673,0.10863503742483102,0.3783405446678545,7858,6
Splicing,exon,0.026668548583984375,0.0060468316078186035,0.02062171697616577,8.782580185489794e-19,0.4741236122038639,1845,124
Truncation / Stop,exon,0.02446979284286499,0.006176948547363281,0.01829284429550171,3.5990886884382424e-78,0.5581022702635736,10375,389
Splicing,skipped exon,0.023344501852989197,0.005918048322200775,0.01742645353078842,3.109376003170556e-20,0.49370574350904795,1845,124
Splicing,splice donor,0.019603580236434937,0.006298588588833809,0.013304991647601128,4.174501990792907e-20,0.4920097910656527,1845,124
Frameshift,exon,0.021645337343215942,0.008902519941329956,0.012742817401885986,0.07517542057450001,0.41961482989734455,7858,6
Splicing,splice acceptor,0.016661420464515686,0.006940377876162529,0.009721042588353157,7.470165432754644e-15,0.4166185855406941,1845,124
Truncation / Stop,protein coding gene,0.014361023902893066,0.0052343010902404785,0.009126722812652588,2.90809239655962e-55,0.4669034595967416,10375,389
UTR / PolyA,polyA signal,0.015978340059518814,0.007201433181762695,0.008776906877756119,0.015553135436466832,0.2746602766318855,5072,26
Frameshift,protein coding gene,0.013245701789855957,0.006526172161102295,0.006719529628753662,0.28775187656951096,0.2506999236446934,7858,6
Missense / Protein Function,always on exon,0.013171851634979248,0.007223188877105713,0.005948662757873535,7.940424259095582e-30,0.27973198993556325,10319,579
Missense / Protein Function,ORF,0.014833390712738037,0.009021401405334473,0.0058119893074035645,6.2033943496585954e-28,0.2701691682981291,10319,579
Missense / Protein Function,exon,0.007976293563842773,0.0049629807472229,0.003013312816619873,1.0596334177592944e-20,0.23006590622693923,10319,579
UTR / PolyA,5UTR+,0.0048643555492162704,0.0023890379816293716,0.002475317567586899,0.3744499800447384,0.10084020868721177,5072,26
Truncation / Stop,stop codon,0.01774844527244568,0.015287939459085464,0.0024605058133602142,0.0019031754307950884,0.09258314491900754,10375,389
Missense / Protein Function,protein coding gene,0.006259620189666748,0.004374384880065918,0.00188523530960083,2.0956102645942916e-13,0.1810597718613869,10319,579
UTR / PolyA,3UTR+,0.0036254823207855225,0.004035722464323044,-0.00041024014353752136,0.3358934818581244,-0.10925746178112106,5072,26
UTR / PolyA,5UTR-,0.004184603691101074,0.00468980148434639,-0.0005051977932453156,0.3545286394476701,-0.10511708323222524,5072,26
UTR / PolyA,3UTR-,0.003237573429942131,0.006809942424297333,-0.0035723689943552017,0.002971285825640229,-0.3372664401844213,5072,26
