track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
GTEX-1EX96-0011-R4a-SM-ARU82.1,brain | RNA-seq [1],-0.41015625,BigWig,1.0,0.58984375,0.41015625,1
GTEX-ZYT6-0626-SM-5E45V.1,liver | RNA-seq [1],-0.39453125,BigWig,0.96484375,0.5703125,0.39453125,2
GTEX-1H3O1-1726-SM-9WYSR.1,brain | RNA-seq [2],-0.3828125,BigWig,0.99609375,0.61328125,0.3828125,3
GTEX-13FTY-0011-R11a-SM-5IJEA.1,brain | RNA-seq [3],-0.375,BigWig,0.9921875,0.6171875,0.375,4
GTEX-1QP66-0226-SM-DPRXS.1,liver | RNA-seq [2],-0.375,BigWig,0.92578125,0.55078125,0.375,5
exon,exon,-0.35546875,BED,0.875,0.51953125,0.35546875,6
intron,intron,0.3203125,BED,0.55078125,0.87109375,0.3203125,7
skipped_exon,skipped exon,-0.275390625,BED,0.7109375,0.435546875,0.275390625,8
CNhs13972_P,adipose | CAGE,-0.265625,BigWig,0.84765625,0.58203125,0.265625,9
GTEX-145LS-3226-SM-5TDCA.1,pituitary | RNA-seq,-0.26171875,BigWig,1.0,0.73828125,0.26171875,10
GTEX-14PJ6-0926-SM-686ZA.1,pancreas | RNA-seq,-0.24609375,BigWig,1.0,0.75390625,0.24609375,11
CNhs11926_P,Endothelial Cells - Thoracic | CAGE,-0.2421875,BigWig,0.9296875,0.6875,0.2421875,12
CNhs10745_P,anaplastic carcinoma cell line | CAGE,-0.23046875,BigWig,0.87109375,0.640625,0.23046875,13
CNhs12075_P,Hepatic Sinusoidal Endothelial Cells | CAGE,-0.2265625,BigWig,0.98828125,0.76171875,0.2265625,14
CNhs11777_P,"rectum, fetal | CAGE",-0.2265625,BigWig,0.9296875,0.703125,0.2265625,15
CNhs12998_P,"testis, adult, pool2 | CAGE",-0.21875,BigWig,0.9375,0.71875,0.21875,16
CNhs11780_P,"colon, fetal | CAGE",-0.21484375,BigWig,0.80078125,0.5859375,0.21484375,17
CNhs11786_P,"lung, right lower lobe, adult | CAGE",-0.21484375,BigWig,0.91015625,0.6953125,0.21484375,18
CNhs11722_P,leiomyoma cell line | CAGE,-0.20703125,BigWig,0.96875,0.76171875,0.20703125,19
CNhs11884_P,teratocarcinoma cell line | CAGE,-0.20703125,BigWig,0.8671875,0.66015625,0.20703125,20
CNhs11322_P,Fibroblast - Lymphatic | CAGE,-0.20703125,BigWig,0.96875,0.76171875,0.20703125,21
CNhs10851_P,Sertoli Cells | CAGE,-0.20703125,BigWig,0.91015625,0.703125,0.20703125,22
CNhs10838_P,Smooth Muscle Cells - Aortic | CAGE,-0.20703125,BigWig,0.9609375,0.75390625,0.20703125,23
CNhs11821_P,myxofibrosarcoma cell line | CAGE,-0.203125,BigWig,0.84375,0.640625,0.203125,24
CNhs11311_P,Osteoblast - differentiated | CAGE,-0.203125,BigWig,0.9765625,0.7734375,0.203125,25
CNhs12065_P,Preadipocyte - perirenal | CAGE,-0.203125,BigWig,0.9375,0.734375,0.203125,26
CNhs11283_P,cholangiocellular carcinoma cell line | CAGE,-0.19921875,BigWig,0.94140625,0.7421875,0.19921875,27
CNhs11752_P,mucinous adenocarcinoma cell line | CAGE,-0.19921875,BigWig,0.90234375,0.703125,0.19921875,28
CNhs11856_P,pagetoid sarcoma cell line | CAGE,-0.19921875,BigWig,0.94921875,0.75,0.19921875,29
CNhs11872_P,thyroid carcinoma cell line | CAGE,-0.19921875,BigWig,0.87109375,0.671875,0.19921875,30
CNhs11773_P,"small intestine, fetal | CAGE",-0.19921875,BigWig,0.90234375,0.703125,0.19921875,31
ORF,ORF,-0.197265625,BED,0.60546875,0.408203125,0.197265625,32
CNhs11716_P,papillary adenocarcinoma cell line | CAGE,-0.1953125,BigWig,0.9375,0.7421875,0.1953125,33
CNhs11827_P,serous cystadenocarcinoma cell line | CAGE,-0.19140625,BigWig,0.87890625,0.6875,0.19140625,34
CNhs11303_P,Melanocyte - light | CAGE,-0.19140625,BigWig,0.9375,0.74609375,0.19140625,35
CNhs11345_P,Mesenchymal Stem Cells - adipose | CAGE,-0.19140625,BigWig,0.90234375,0.7109375,0.19140625,36
CNhs10845_P,Mesenchymal stem cells - hepatic | CAGE,-0.19140625,BigWig,0.92578125,0.734375,0.19140625,37
CNhs10842_P,Retinal Pigment Epithelial Cells | CAGE,-0.19140625,BigWig,0.9296875,0.73828125,0.19140625,38
CNhs11792_P,"breast, adult | CAGE",-0.19140625,BigWig,0.87890625,0.6875,0.19140625,39
CNhs11781_P,"duodenum, fetal, tech  | CAGE",-0.19140625,BigWig,0.94140625,0.75,0.19140625,40
GTEX-11EQ9-0526-SM-5A5JZ.1,liver | RNA-seq,-0.19140625,BigWig,1.0,0.80859375,0.19140625,41
CNhs10740_P,choriocarcinoma cell line | CAGE,-0.1875,BigWig,0.8515625,0.6640625,0.1875,42
CNhs11737_P,gastric adenocarcinoma cell line | CAGE,-0.1875,BigWig,0.9140625,0.7265625,0.1875,43
CNhs11870_P,liposarcoma cell line | CAGE,-0.1875,BigWig,0.97265625,0.78515625,0.1875,44
