track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
exon,exon,-0.56640625,BED,0.8671875,0.30078125,0.56640625,1
ORF,ORF,-0.537109375,BED,0.82421875,0.287109375,0.537109375,2
intron,intron,0.45703125,BED,0.18359375,0.640625,0.45703125,3
always_on_exon,Always-on exon,-0.4345703125,BED,0.6796875,0.2451171875,0.4345703125,4
CNhs11943_M,breast carcinoma cell line | CAGE,0.1796875,BigWig,0.62109375,0.80078125,0.1796875,5
CNhs12838_M,merkel cell carcinoma cell line | CAGE,0.1796875,BigWig,0.60546875,0.78515625,0.1796875,6
CNhs10884_M,Small Airway Epithelial Cells | CAGE,0.17578125,BigWig,0.640625,0.81640625,0.17578125,7
CNhs14245_M,"lung adenocarcinoma, papillary cell line | CAGE",0.15625,BigWig,0.6796875,0.8359375,0.15625,8
CNhs10632_M,"testis, adult, pool1 | CAGE",0.15625,BigWig,0.66796875,0.82421875,0.15625,9
protein_coding_gene,Protein-coding gene,-0.15234375,BED,0.828125,0.67578125,0.15234375,10
CNhs11944_M,mixed mullerian tumor cell line | CAGE,0.15234375,BigWig,0.55859375,0.7109375,0.15234375,11
CNhs14244_M,carcinoid cell line | CAGE,0.1484375,BigWig,0.55078125,0.69921875,0.1484375,12
GTEX-1I4MK-0002-SM-EZ6M9.1,blood | RNA-seq,-0.1484375,BigWig,0.98046875,0.83203125,0.1484375,13
CNhs11824_M,glassy cell carcinoma cell line | CAGE,0.140625,BigWig,0.6484375,0.7890625,0.140625,14
CNhs13809_M,medial temporal gyrus - adult | CAGE,0.140625,BigWig,0.59765625,0.73828125,0.140625,15
CNhs10627_M,"placenta, adult, pool1 | CAGE",0.13671875,BigWig,0.62109375,0.7578125,0.13671875,16
CNhs11876_M,testicular germ cell embryonal carcinoma cell line | CA [1],0.1328125,BigWig,0.57421875,0.70703125,0.1328125,17
CNhs12362_M,testicular germ cell embryonal carcinoma cell line | CA [2],0.1328125,BigWig,0.5859375,0.71875,0.1328125,18
CNhs10616_M,"bladder, adult, pool1 | CAGE",0.1328125,BigWig,0.60546875,0.73828125,0.1328125,19
CNhs12851_M,"seminal vesicle, adult | CAGE",0.1328125,BigWig,0.69921875,0.83203125,0.1328125,20
CNhs13477_M,"Hep-2 cells treated with Streptococci strain 5448, biol",0.12890625,BigWig,0.5859375,0.71484375,0.12890625,21
CNhs11892_M,Wilms' tumor cell line | CAGE,0.12890625,BigWig,0.578125,0.70703125,0.12890625,22
CNhs11869_M,somatostatinoma cell line | CAGE,0.12890625,BigWig,0.578125,0.70703125,0.12890625,23
CNhs11878_M,teratocarcinoma cell line | CAGE,0.12890625,BigWig,0.546875,0.67578125,0.12890625,24
CNhs10866_M,Fibroblast - Gingival | CAGE,0.12890625,BigWig,0.5234375,0.65234375,0.12890625,25
CNhs13816_M,Olfactory epithelial cells | CAGE,0.12890625,BigWig,0.5234375,0.65234375,0.12890625,26
splice_acceptor,splice acceptor,0.12548828125,BED,0.11279296875,0.23828125,0.12548828125,27
ENCSR221ZRM,trophoblast | Histone ChIP-seq | H3K27me3,0.125,BigWig,0.6640625,0.7890625,0.125,28
CNhs10617_M,"brain, adult, pool1 | CAGE",0.125,BigWig,0.69140625,0.81640625,0.125,29
CNhs12847_M,"epididymis, adult | CAGE",0.125,BigWig,0.6484375,0.7734375,0.125,30
CNhs11762_P,"eye, fetal | CAGE",-0.125,BigWig,0.62890625,0.50390625,0.125,31
CNhs10743_M,epidermoid carcinoma cell line | CAGE,0.12109375,BigWig,0.58984375,0.7109375,0.12109375,32
GTEX-1OKEX-0006-SM-DKPQ2.1,blood | RNA-seq,-0.12109375,BigWig,1.0,0.87890625,0.12109375,33
CNhs11047_M,embryonic kidney cell line | CAGE,0.1171875,BigWig,0.546875,0.6640625,0.1171875,34
CNhs11252_M,squamous cell carcinoma cell line | CAGE,0.1171875,BigWig,0.609375,0.7265625,0.1171875,35
CNhs10855_M,"Dendritic Cells - monocyte immature derived, tech  | CA",0.1171875,BigWig,0.6484375,0.765625,0.1171875,36
CNhs12324_M,"putamen, adult | CAGE",0.1171875,BigWig,0.6796875,0.796875,0.1171875,37
CNhs11972_M,Prostate Epithelial Cells | CAGE,0.11328125,BigWig,0.58984375,0.703125,0.11328125,38
CNhs10621_M,"heart, adult, pool1 | CAGE",0.11328125,BigWig,0.57421875,0.6875,0.11328125,39
GTEX-139TS-0008-SM-62LDG.1,skin | RNA-seq,-0.11328125,BigWig,0.9921875,0.87890625,0.11328125,40
CNhs13479_M,"Hep-2 cells mock treated, biol  | CAGE",0.109375,BigWig,0.5859375,0.6953125,0.109375,41
CNhs13478_M,"Hep-2 cells treated with Streptococci strain JRS4, biol",0.109375,BigWig,0.58984375,0.69921875,0.109375,42
CNhs11875_M,choriocarcinoma cell line | CAGE,0.109375,BigWig,0.625,0.734375,0.109375,43
CNhs11256_M,gall bladder carcinoma cell line | CAGE,0.109375,BigWig,0.56640625,0.67578125,0.109375,44
CNhs11856_M,pagetoid sarcoma cell line | CAGE,0.109375,BigWig,0.58203125,0.69140625,0.109375,45
CNhs12810_M,salivary acinar cells | CAGE,0.109375,BigWig,0.6484375,0.7578125,0.109375,46
CNhs12855_M,"heart - mitral valve, adult | CAGE",0.109375,BigWig,0.58203125,0.69140625,0.109375,47
CNhs10640_M,"pons, adult, pool1 | CAGE",0.109375,BigWig,0.62890625,0.73828125,0.109375,48
CNhs11840_M,bronchioalveolar carcinoma cell line | CAGE,0.10546875,BigWig,0.56640625,0.671875,0.10546875,49
CNhs11737_M,gastric adenocarcinoma cell line | CAGE,0.10546875,BigWig,0.5625,0.66796875,0.10546875,50
CNhs11255_M,rectal cancer cell line | CAGE,0.10546875,BigWig,0.58203125,0.6875,0.10546875,51
CNhs11884_M,teratocarcinoma cell line | CAGE,0.10546875,BigWig,0.5625,0.66796875,0.10546875,52
CNhs12379_M,amniotic membrane cells | CAGE,0.10546875,BigWig,0.69921875,0.8046875,0.10546875,53
CNhs10649_M,"corpus callosum, adult, pool1 | CAGE",0.10546875,BigWig,0.609375,0.71484375,0.10546875,54
CNhs12322_P,"locus coeruleus, adult | CAGE",-0.10546875,BigWig,0.61328125,0.5078125,0.10546875,55
CNhs12611_M,"olfactory region, adult | CAGE",0.10546875,BigWig,0.65234375,0.7578125,0.10546875,56
CNhs10635_M,"trachea, adult, pool1 | CAGE",0.10546875,BigWig,0.64453125,0.75,0.10546875,57
CNhs11051_M,Adipocyte - breast | CAGE,0.1015625,BigWig,0.53515625,0.63671875,0.1015625,58
CNhs10871_M,Ciliary Epithelial Cells | CAGE,0.1015625,BigWig,0.53125,0.6328125,0.1015625,59
CNhs12380_M,chorionic membrane cells | CAGE,0.1015625,BigWig,0.71484375,0.81640625,0.1015625,60
CNhs12846_M,"ductus deferens, adult | CAGE",0.1015625,BigWig,0.59375,0.6953125,0.1015625,61
CNhs10647_M,"frontal lobe, adult, pool1 | CAGE",0.1015625,BigWig,0.57421875,0.67578125,0.1015625,62
CNhs10625_M,"lung, adult, pool1 | CAGE",0.1015625,BigWig,0.6328125,0.734375,0.1015625,63
CNhs12320_M,"occipital cortex, adult | CAGE",0.1015625,BigWig,0.60546875,0.70703125,0.1015625,64
CNhs10643_M,"occipital pole, adult, pool1 | CAGE",0.1015625,BigWig,0.59765625,0.69921875,0.1015625,65
CNhs10736_M,breast carcinoma cell line | CAGE,0.09765625,BigWig,0.5703125,0.66796875,0.09765625,66
CNhs11247_M,epithelioid sarcoma cell line | CAGE,0.09765625,BigWig,0.54296875,0.640625,0.09765625,67
CNhs11243_M,prostate cancer cell line | CAGE,0.09765625,BigWig,0.56640625,0.6640625,0.09765625,68
CNhs11084_M,Skeletal muscle cells differentiated into Myotubes - mu,0.09765625,BigWig,0.51953125,0.6171875,0.09765625,69
CNhs13808_M,locus coeruleus - adult | CAGE,0.09765625,BigWig,0.64453125,0.7421875,0.09765625,70
CNhs12310_M,"medial frontal gyrus, adult | CAGE",0.09765625,BigWig,0.62109375,0.71875,0.09765625,71
CNhs10628_M,"prostate, adult, pool1 | CAGE",0.09765625,BigWig,0.5703125,0.66796875,0.09765625,72
CNhs10637_M,"temporal lobe, adult, pool1 | CAGE",0.09765625,BigWig,0.60546875,0.703125,0.09765625,73
CNhs12998_M,"testis, adult, pool2 | CAGE",0.09765625,BigWig,0.6171875,0.71484375,0.09765625,74
CNhs10634_M,"thyroid, adult, pool1 | CAGE",0.09765625,BigWig,0.64453125,0.7421875,0.09765625,75
ENCSR385SZQ,MCF 10A | DNase-seq,-0.09375,BigWig,0.75,0.65625,0.09375,76
CNhs10730_M,malignant trichilemmal cyst cell line | CAGE,0.09375,BigWig,0.53125,0.625,0.09375,77
CNhs12839_M,merkel cell carcinoma cell line | CAGE,0.09375,BigWig,0.55859375,0.65234375,0.09375,78
CNhs11378_M,Fibroblast - Cardiac | CAGE,0.09375,BigWig,0.53125,0.625,0.09375,79
CNhs11903_M,"Gingival epithelial cells,  (GEA15) | CAGE",0.09375,BigWig,0.5625,0.65625,0.09375,80
CNhs10645_M,"medulla oblongata, adult, pool1 | CAGE",0.09375,BigWig,0.61328125,0.70703125,0.09375,81
CNhs12850_M,"penis, adult | CAGE",0.09375,BigWig,0.66015625,0.75390625,0.09375,82
CNhs10634_P,"thyroid, adult, pool1 | CAGE",-0.09375,BigWig,0.59765625,0.50390625,0.09375,83
GTEX-1LB8K-0005-SM-DIPED.1,blood | RNA-seq,-0.09375,BigWig,0.99609375,0.90234375,0.09375,84
CNhs10740_M,choriocarcinoma cell line | CAGE,0.08984375,BigWig,0.58984375,0.6796875,0.08984375,85
CNhs11930_M,clear cell carcinoma cell line | CAGE,0.08984375,BigWig,0.5703125,0.66015625,0.08984375,86
CNhs11049_M,cord blood derived cell line | CAGE,0.08984375,BigWig,0.51953125,0.609375,0.08984375,87
CNhs11100_M,ductal cell carcinoma cell line | CAGE,0.08984375,BigWig,0.5390625,0.62890625,0.08984375,88
CNhs12325_M,epitheloid carcinoma cell line | CAGE,0.08984375,BigWig,0.546875,0.63671875,0.08984375,89
CNhs11851_M,liposarcoma cell line | CAGE,0.08984375,BigWig,0.546875,0.63671875,0.08984375,90
CNhs11726_M,testicular germ cell embryonal carcinoma cell line | CA,0.08984375,BigWig,0.546875,0.63671875,0.08984375,91
CNhs11061_M,"Gingival epithelial cells,  (GEA11) | CAGE",0.08984375,BigWig,0.59765625,0.6875,0.08984375,92
CNhs12346_P,Melanocyte - dark | CAGE,-0.08984375,BigWig,0.59765625,0.5078125,0.08984375,93
CNhs10838_M,Smooth Muscle Cells - Aortic | CAGE,0.08984375,BigWig,0.53515625,0.625,0.08984375,94
CNhs12840_M,"cerebral meninges, adult | CAGE",0.08984375,BigWig,0.64453125,0.734375,0.08984375,95
CNhs10618_M,"cervix, adult, pool1 | CAGE",0.08984375,BigWig,0.58984375,0.6796875,0.08984375,96
CNhs11757_M,"heart, adult, diseased post-infarction | CAGE",0.08984375,BigWig,0.5859375,0.67578125,0.08984375,97
CNhs12312_M,"hippocampus, adult | CAGE",0.08984375,BigWig,0.609375,0.69921875,0.08984375,98
CNhs10646_M,"insula, adult, pool1 | CAGE",0.08984375,BigWig,0.57421875,0.6640625,0.08984375,99
CNhs10626_M,"ovary, adult, pool1 | CAGE",0.08984375,BigWig,0.54296875,0.6328125,0.08984375,100
ENCSR000ELO,psoas muscle | DNase-seq,0.0859375,BigWig,0.7890625,0.875,0.0859375,101
CNhs11050_M,cord blood derived cell line | CAGE,0.0859375,BigWig,0.5234375,0.609375,0.0859375,102
CNhs11849_M,pharyngeal carcinoma cell line | CAGE,0.0859375,BigWig,0.62109375,0.70703125,0.0859375,103
CNhs10864_M,Astrocyte - cerebral cortex | CAGE,0.0859375,BigWig,0.5234375,0.609375,0.0859375,104
CNhs12000_M,Dendritic Cells - monocyte immature derived | CAGE,0.0859375,BigWig,0.62890625,0.71484375,0.0859375,105
CNhs11064_M,Keratinocyte - epidermal | CAGE,0.0859375,BigWig,0.625,0.7109375,0.0859375,106
CNhs10850_M,Mesothelial Cells | CAGE,0.0859375,BigWig,0.5546875,0.640625,0.0859375,107
CNhs13972_M,adipose | CAGE,0.0859375,BigWig,0.55078125,0.63671875,0.0859375,108
CNhs12311_M,"amygdala, adult | CAGE",0.0859375,BigWig,0.58203125,0.66796875,0.0859375,109
CNhs12321_M,"caudate nucleus, adult | CAGE",0.0859375,BigWig,0.62890625,0.71484375,0.0859375,110
CNhs12323_M,"cerebellum, adult | CAGE",0.0859375,BigWig,0.58984375,0.67578125,0.0859375,111
CNhs12610_M,"diencephalon, adult | CAGE",0.0859375,BigWig,0.71484375,0.80078125,0.0859375,112
CNhs11758_M,"heart, adult, diseased | CAGE",0.0859375,BigWig,0.546875,0.6328125,0.0859375,113
CNhs10638_M,"postcentral gyrus, adult, pool1 | CAGE",0.0859375,BigWig,0.60546875,0.69140625,0.0859375,114
CNhs10738_M,adult T-cell leukemia cell line | CAGE,0.08203125,BigWig,0.5546875,0.63671875,0.08203125,115
CNhs10733_M,gall bladder carcinoma cell line | CAGE,0.08203125,BigWig,0.57421875,0.65625,0.08203125,116
CNhs11848_M,leiomyoblastoma cell line | CAGE,0.08203125,BigWig,0.546875,0.62890625,0.08203125,117
CNhs11877_M,rhabdomyosarcoma cell line | CAGE,0.08203125,BigWig,0.546875,0.62890625,0.08203125,118
CNhs11890_M,teratocarcinoma cell line | CAGE,0.08203125,BigWig,0.53125,0.61328125,0.08203125,119
CNhs11341_M,Amniotic Epithelial Cells | CAGE,0.08203125,BigWig,0.5546875,0.63671875,0.08203125,120
CNhs11079_P,Placental Epithelial Cells | CAGE,-0.08203125,BigWig,0.59375,0.51171875,0.08203125,121
CNhs11079_M,Placental Epithelial Cells | CAGE,0.08203125,BigWig,0.58203125,0.6640625,0.08203125,122
CNhs11065_M,Preadipocyte - omental | CAGE,0.08203125,BigWig,0.53125,0.61328125,0.08203125,123
CNhs14081_M,"hippocampus, newborn | CAGE",0.08203125,BigWig,0.5390625,0.62109375,0.08203125,124
CNhs13454_M,skeletal muscle - soleus muscle | CAGE,0.08203125,BigWig,0.5390625,0.62109375,0.08203125,125
ENCSR752EPH,MCF 10A | DNase-seq,-0.078125,BigWig,0.66796875,0.58984375,0.078125,126
ENCSR789VGQ,MCF 10A | DNase-seq,-0.078125,BigWig,0.69921875,0.62109375,0.078125,127
ENCSR458LIB,MM.1S | DNase-seq,-0.078125,BigWig,0.8046875,0.7265625,0.078125,128
ENCSR301AEA,bipolar neuron | Histone ChIP-seq | H3K4me1,0.078125,BigWig,0.63671875,0.71484375,0.078125,129
CNhs11893_M,adrenal cortex adenocarcinoma cell line | CAGE,0.078125,BigWig,0.53515625,0.61328125,0.078125,130
CNhs11289_M,cervical cancer cell line | CAGE,0.078125,BigWig,0.5859375,0.6640625,0.078125,131
CNhs11875_P,choriocarcinoma cell line | CAGE,-0.078125,BigWig,0.58203125,0.50390625,0.078125,132
CNhs11865_M,chronic myelogenous leukemia (CML) cell line | CAGE,0.078125,BigWig,0.5390625,0.6171875,0.078125,133
CNhs11263_M,mesothelioma cell line | CAGE,0.078125,BigWig,0.5625,0.640625,0.078125,134
CNhs11873_M,mucinous cystadenocarcinoma cell line | CAGE,0.078125,BigWig,0.54296875,0.62109375,0.078125,135
CNhs11717_M,oral squamous cell carcinoma cell line | CAGE,0.078125,BigWig,0.5546875,0.6328125,0.078125,136
CNhs11832_M,pancreatic carcinoma cell line | CAGE,0.078125,BigWig,0.6015625,0.6796875,0.078125,137
CNhs12807_M,plasma cell leukemia cell line | CAGE,0.078125,BigWig,0.53515625,0.61328125,0.078125,138
CNhs11749_M,squamous cell carcinoma cell line | CAGE,0.078125,BigWig,0.57421875,0.65234375,0.078125,139
CNhs11303_M,Melanocyte - light | CAGE,0.078125,BigWig,0.609375,0.6875,0.078125,140
CNhs12338_M,Neurons | CAGE,0.078125,BigWig,0.57421875,0.65234375,0.078125,141
CNhs10869_M,Skeletal Muscle Satellite Cells | CAGE,0.078125,BigWig,0.515625,0.59375,0.078125,142
CNhs11089_M,Smooth Muscle Cells - Pulmonary Artery | CAGE,0.078125,BigWig,0.55859375,0.63671875,0.078125,143
CNhs11334_M,Urothelial Cells | CAGE,0.078125,BigWig,0.56640625,0.64453125,0.078125,144
CNhs12574_M,nasal epithelial cells | CAGE,0.078125,BigWig,0.59765625,0.67578125,0.078125,145
CNhs12639_M,tenocyte | CAGE,0.078125,BigWig,0.53515625,0.61328125,0.078125,146
CNhs13437_M,cerebrospinal fluid | CAGE,0.078125,BigWig,0.6171875,0.6953125,0.078125,147
CNhs14069_M,"medial frontal gyrus, newborn | CAGE",0.078125,BigWig,0.5546875,0.6328125,0.078125,148
CNhs10644_M,"nucleus accumbens, adult, pool1 | CAGE",0.078125,BigWig,0.58203125,0.66015625,0.078125,149
CNhs14074_M,"parietal lobe, newborn | CAGE",0.078125,BigWig,0.55078125,0.62890625,0.078125,150
CNhs10636_M,"retina, adult, pool1 | CAGE",0.078125,BigWig,0.64453125,0.72265625,0.078125,151
CNhs10629_M,"skeletal muscle, adult, pool1 | CAGE",0.078125,BigWig,0.54296875,0.62109375,0.078125,152
CNhs11768_P,"tongue, fetal | CAGE",-0.078125,BigWig,0.58203125,0.50390625,0.078125,153
ENCSR000ELW,A549 | DNase-seq,-0.07421875,BigWig,0.796875,0.72265625,0.07421875,154
ENCSR719FEJ,KOPT-K1 | Histone ChIP-seq | H3K27ac,-0.07421875,BigWig,0.69921875,0.625,0.07421875,155
ENCSR236JVK,CD14-positive monocyte | Histone ChIP-seq | H3K9me3,-0.07421875,BigWig,0.78125,0.70703125,0.07421875,156
ENCSR000EJU,hepatocyte | DNase-seq,0.07421875,BigWig,0.8359375,0.91015625,0.07421875,157
ENCSR642HHF,adrenal gland | Histone ChIP-seq | H3K27ac,-0.07421875,BigWig,0.8125,0.73828125,0.07421875,158
CNhs11841_M,bronchogenic carcinoma cell line | CAGE,0.07421875,BigWig,0.59375,0.66796875,0.07421875,159
CNhs11045_M,cord blood derived cell line | CAGE,0.07421875,BigWig,0.52734375,0.6015625,0.07421875,160
CNhs11266_M,endometrial carcinoma cell line | CAGE,0.07421875,BigWig,0.61328125,0.6875,0.07421875,161
CNhs10728_M,extraskeletal myxoid chondrosarcoma cell line | CAGE,0.07421875,BigWig,0.5390625,0.61328125,0.07421875,162
CNhs11880_P,keratoacanthoma cell line | CAGE,-0.07421875,BigWig,0.58203125,0.5078125,0.07421875,163
CNhs11861_M,medulloblastoma cell line | CAGE,0.07421875,BigWig,0.53515625,0.609375,0.07421875,164
CNhs11264_M,mesothelioma cell line | CAGE,0.07421875,BigWig,0.609375,0.68359375,0.07421875,165
CNhs11746_M,serous adenocarcinoma cell line | CAGE,0.07421875,BigWig,0.57421875,0.6484375,0.07421875,166
CNhs12808_M,small cell lung carcinoma cell line | CAGE,0.07421875,BigWig,0.53515625,0.609375,0.07421875,167
CNhs12809_M,small cell lung carcinoma cell line | CAGE,0.07421875,BigWig,0.53515625,0.609375,0.07421875,168
CNhs10870_M,Myoblast | CAGE,0.07421875,BigWig,0.515625,0.58984375,0.07421875,169
CNhs11311_M,Osteoblast - differentiated | CAGE,0.07421875,BigWig,0.5703125,0.64453125,0.07421875,170
CNhs10608_M,"Clontech Human Universal Reference Total RNA, pool1 | C",0.07421875,BigWig,0.640625,0.71484375,0.07421875,171
CNhs10648_M,"dura mater, adult | CAGE",0.07421875,BigWig,0.546875,0.62109375,0.07421875,172
CNhs10620_M,"esophagus, adult, pool1 | CAGE",0.07421875,BigWig,0.71484375,0.7890625,0.07421875,173
CNhs10622_P,"kidney, adult, pool1 | CAGE",-0.07421875,BigWig,0.578125,0.50390625,0.07421875,174
CNhs14073_M,"occipital cortex, newborn | CAGE",0.07421875,BigWig,0.5390625,0.61328125,0.07421875,175
CNhs10641_M,"parietal lobe, adult, pool1 | CAGE",0.07421875,BigWig,0.578125,0.65234375,0.07421875,176
CNhs10631_M,"spleen, adult, pool1 | CAGE",0.07421875,BigWig,0.5546875,0.62890625,0.07421875,177
CNhs11772_M,"temporal lobe, fetal, tech  | CAGE",0.07421875,BigWig,0.54296875,0.6171875,0.07421875,178
CNhs13460_M,tongue epidermis (fungiform papillae) | CAGE,0.07421875,BigWig,0.578125,0.65234375,0.07421875,179
CNhs10635_P,"trachea, adult, pool1 | CAGE",-0.07421875,BigWig,0.578125,0.50390625,0.07421875,180
GTEX-14PJ6-0926-SM-686ZA.1,pancreas | RNA-seq,-0.07421875,BigWig,1.0,0.92578125,0.07421875,181
ENCSR000EJN,H1 | DNase-seq,0.0703125,BigWig,0.73828125,0.80859375,0.0703125,182
