track,reference,stat,lo,hi
D_BED_protein_coding_gene,all,std,-0.08126267777484156,0.02374703869537035
D_BED_protein_coding_gene,all,mad,-0.023587167263031006,0.0030805468559265137
D_BED_protein_coding_gene,benign,std,-0.021277622495447793,0.019925956573298726
D_BED_protein_coding_gene,benign,mad,-0.005163908004760742,0.006205320358276367
D_BED_lncRNA,all,std,-0.024885631027256563,0.050053614881805375
D_BED_lncRNA,all,mad,-0.0046613141894340515,0.014370530843734741
D_BED_lncRNA,benign,std,-0.014451397887751455,0.014963099153832394
D_BED_lncRNA,benign,mad,-0.0038071870803833008,0.004368841648101807
D_BED_exon,all,std,-0.16462871458455636,0.05596603387033801
D_BED_exon,all,mad,-0.03903642296791077,0.003722637891769409
D_BED_exon,benign,std,-0.037484479164784305,0.043493741202743984
D_BED_exon,benign,mad,-0.005226656794548035,0.0077344924211502075
D_BED_intron,all,std,-0.05950090596960813,0.13358407615019294
D_BED_intron,all,mad,-0.015293434262275696,0.04295869171619415
D_BED_intron,benign,std,-0.03455478083520395,0.030116313470146434
D_BED_intron,benign,mad,-0.00486224889755249,0.004510462284088135
D_BED_splice_donor,all,std,-0.021828545044816558,0.05069150171511311
D_BED_splice_donor,all,mad,-0.005002420395612717,0.021252039819955826
D_BED_splice_donor,benign,std,-0.012571191039852065,0.017401939973913472
D_BED_splice_donor,benign,mad,-0.0036734864115715027,0.006786361336708069
D_BED_splice_acceptor,all,std,-0.01886373648954929,0.04707470161628589
D_BED_splice_acceptor,all,mad,-0.005335597321391106,0.022882724180817604
D_BED_splice_acceptor,benign,std,-0.016009581318087218,0.018589058262553075
D_BED_splice_acceptor,benign,mad,-0.0053033046424388885,0.006239917129278183
D_BED_CTCF-bound,all,std,-0.02485845620983963,0.02338382381789014
D_BED_CTCF-bound,all,mad,-0.006335919257253408,0.006573691964149475
D_BED_CTCF-bound,benign,std,-0.009469694743657883,0.009540900306932706
D_BED_CTCF-bound,benign,mad,-0.0028111040592193604,0.002840295433998108
D_BED_polyA_signal,all,std,-0.014027369601569039,0.03080893192270631
D_BED_polyA_signal,all,mad,-0.005189019255340099,0.013256880454719067
D_BED_polyA_signal,benign,std,-0.012586555681139347,0.014988551610381188
D_BED_polyA_signal,benign,mad,-0.002869661897420883,0.005905169993638992
D_BED_enhancer_Tissue_specific,all,std,-0.0730968423352917,0.0684555254048739
D_BED_enhancer_Tissue_specific,all,mad,-0.025366637855768204,0.024273741990327835
D_BED_enhancer_Tissue_specific,benign,std,-0.0301411872642627,0.03224513016988504
D_BED_enhancer_Tissue_specific,benign,mad,-0.010471757501363754,0.01161881536245346
D_BED_enhancer_Tissue_invariant,all,std,-0.024548684757232618,0.031145669497907792
D_BED_enhancer_Tissue_invariant,all,mad,-0.008387617766857147,0.012174470350146294
D_BED_enhancer_Tissue_invariant,benign,std,-0.012937271901920096,0.014750652569620814
D_BED_enhancer_Tissue_invariant,benign,mad,-0.004496414214372635,0.004904482513666153
D_BED_promoter_Tissue_specific,all,std,-0.023240861945210915,0.037510972246321425
D_BED_promoter_Tissue_specific,all,mad,-0.005934547632932663,0.011221438646316528
D_BED_promoter_Tissue_specific,benign,std,-0.014208336029339765,0.015338313198785553
