file_id,biosample_type,tissue,assay,strand,experiment_target,dataset
kai1,single_cell,A Cardiomyocyte,ATAC-seq,,,catlas
kai2,single_cell,Acinar,ATAC-seq,,,catlas
kai3,single_cell,Adipocyte,ATAC-seq,,,catlas
kai4,single_cell,Airway Goblet,ATAC-seq,,,catlas
kai5,single_cell,Alpha 1,ATAC-seq,,,catlas
kai6,single_cell,Alpha 2,ATAC-seq,,,catlas
kai7,single_cell,Alveolar Cap Endo,ATAC-seq,,,catlas
kai8,single_cell,Alveolar Type 1,ATAC-seq,,,catlas
kai10,single_cell,Alveolar Type 2,ATAC-seq,,,catlas
kai9,single_cell,Alveolar Type 2 (Immune),ATAC-seq,,,catlas
kai11,single_cell,Astrocyte 1,ATAC-seq,,,catlas
kai12,single_cell,Astrocyte 2,ATAC-seq,,,catlas
kai13,single_cell,BBB Endothelial,ATAC-seq,,,catlas
kai14,single_cell,Beta 1,ATAC-seq,,,catlas
kai15,single_cell,Beta 2,ATAC-seq,,,catlas
kai16,single_cell,Cardiac Fibroblast,ATAC-seq,,,catlas
kai17,single_cell,Cardiac Pericyte 1,ATAC-seq,,,catlas
kai18,single_cell,Cardiac Pericyte 2,ATAC-seq,,,catlas
kai19,single_cell,Cardiac Pericyte 3,ATAC-seq,,,catlas
kai20,single_cell,Cardiac Pericyte 4,ATAC-seq,,,catlas
kai21,single_cell,Chief,ATAC-seq,,,catlas
kai22,single_cell,Cilliated,ATAC-seq,,,catlas
kai23,single_cell,Club,ATAC-seq,,,catlas
kai24,single_cell,Colon Epithelial 1,ATAC-seq,,,catlas
kai25,single_cell,Colon Epithelial 2,ATAC-seq,,,catlas
kai26,single_cell,Colon Epithelial 3,ATAC-seq,,,catlas
kai27,single_cell,Colon Goblet,ATAC-seq,,,catlas
kai28,single_cell,Cortical Epithelial,ATAC-seq,,,catlas
kai29,single_cell,Delta+Gamma,ATAC-seq,,,catlas
kai30,single_cell,Ductal,ATAC-seq,,,catlas
kai31,single_cell,Endocardial,ATAC-seq,,,catlas
kai32,single_cell,Endothelial Exocrine,ATAC-seq,,,catlas
kai33,single_cell,Endothelial General 1,ATAC-seq,,,catlas
kai34,single_cell,Endothelial General 2,ATAC-seq,,,catlas
kai35,single_cell,Endothelial General 3,ATAC-seq,,,catlas
kai36,single_cell,Endothelial Myocardial,ATAC-seq,,,catlas
kai37,single_cell,Enteric Neuron,ATAC-seq,,,catlas
kai38,single_cell,Enterochromaffin,ATAC-seq,,,catlas
kai39,single_cell,Enterocyte,ATAC-seq,,,catlas
kai40,single_cell,Esophageal Epithelial,ATAC-seq,,,catlas
kai41,single_cell,Fasciculata,ATAC-seq,,,catlas
kai42,single_cell,Fetal A Cardiomyocyte,ATAC-seq,,,catlas
kai43,single_cell,Fetal Acinar 1,ATAC-seq,,,catlas
kai44,single_cell,Fetal Acinar 2,ATAC-seq,,,catlas
kai45,single_cell,Fetal Adrenal Cortical,ATAC-seq,,,catlas
kai46,single_cell,Fetal Adrenal Neuron,ATAC-seq,,,catlas
kai47,single_cell,Fetal Alveolar Cap Endo,ATAC-seq,,,catlas
kai48,single_cell,Fetal Alveolar Epithelial 1,ATAC-seq,,,catlas
kai49,single_cell,Fetal Alveolar Epithelial 2,ATAC-seq,,,catlas
kai50,single_cell,Fetal Astrocyte 1,ATAC-seq,,,catlas
kai51,single_cell,Fetal Astrocyte 2,ATAC-seq,,,catlas
kai52,single_cell,Fetal Astrocyte 3,ATAC-seq,,,catlas
kai53,single_cell,Fetal Astrocyte 4,ATAC-seq,,,catlas
kai54,single_cell,Fetal Astrocyte 5,ATAC-seq,,,catlas
kai55,single_cell,Fetal B Lymphocyte 1 (SPIB+),ATAC-seq,,,catlas
kai56,single_cell,Fetal B Lymphocyte 2 (CXCR5+),ATAC-seq,,,catlas
kai57,single_cell,Fetal B Lymphocyte 3 (NPY+),ATAC-seq,,,catlas
kai58,single_cell,Fetal Cardiac Fibroblast,ATAC-seq,,,catlas
kai59,single_cell,Fetal Cholangiocyte,ATAC-seq,,,catlas
kai60,single_cell,Fetal Chromaffin,ATAC-seq,,,catlas
kai61,single_cell,Fetal Cilliated,ATAC-seq,,,catlas
kai62,single_cell,Fetal Ductal,ATAC-seq,,,catlas
kai63,single_cell,Fetal Endocardial,ATAC-seq,,,catlas
kai64,single_cell,Fetal Endothelial General 1,ATAC-seq,,,catlas
kai65,single_cell,Fetal Endothelial General 2,ATAC-seq,,,catlas
kai66,single_cell,Fetal Endothelial General 3,ATAC-seq,,,catlas
kai67,single_cell,Fetal Endothelial Hepatic 1,ATAC-seq,,,catlas
kai68,single_cell,Fetal Endothelial Hepatic 2,ATAC-seq,,,catlas
kai69,single_cell,Fetal Endothelial Placental,ATAC-seq,,,catlas
kai70,single_cell,Fetal Enteric Glia,ATAC-seq,,,catlas
kai71,single_cell,Fetal Enteric Neuron,ATAC-seq,,,catlas
kai72,single_cell,Fetal Enterocyte 1,ATAC-seq,,,catlas
kai73,single_cell,Fetal Enterocyte 2,ATAC-seq,,,catlas
kai74,single_cell,Fetal Enterocyte 3,ATAC-seq,,,catlas
kai75,single_cell,Fetal Enteroendocrine,ATAC-seq,,,catlas
kai76,single_cell,Fetal Erythroblast 1,ATAC-seq,,,catlas
kai77,single_cell,Fetal Erythroblast 2,ATAC-seq,,,catlas
kai78,single_cell,Fetal Erythroblast 3,ATAC-seq,,,catlas
kai79,single_cell,Fetal Erythroblast 4,ATAC-seq,,,catlas
kai80,single_cell,Fetal Erythroblast 5,ATAC-seq,,,catlas
kai81,single_cell,Fetal Excitatory Neuron 1,ATAC-seq,,,catlas
kai82,single_cell,Fetal Excitatory Neuron 10,ATAC-seq,,,catlas
kai83,single_cell,Fetal Excitatory Neuron 11,ATAC-seq,,,catlas
kai84,single_cell,Fetal Excitatory Neuron 12,ATAC-seq,,,catlas
kai85,single_cell,Fetal Excitatory Neuron 2,ATAC-seq,,,catlas
kai86,single_cell,Fetal Excitatory Neuron 3,ATAC-seq,,,catlas
kai87,single_cell,Fetal Excitatory Neuron 4,ATAC-seq,,,catlas
kai88,single_cell,Fetal Excitatory Neuron 5,ATAC-seq,,,catlas
kai89,single_cell,Fetal Excitatory Neuron 6,ATAC-seq,,,catlas
kai90,single_cell,Fetal Excitatory Neuron 7,ATAC-seq,,,catlas
kai91,single_cell,Fetal Excitatory Neuron 8,ATAC-seq,,,catlas
kai92,single_cell,Fetal Excitatory Neuron 9,ATAC-seq,,,catlas
kai93,single_cell,Fetal Extravillous Trophoblast,ATAC-seq,,,catlas
kai94,single_cell,Fetal Fibro GI,ATAC-seq,,,catlas
kai95,single_cell,Fetal Fibro General 1,ATAC-seq,,,catlas
kai96,single_cell,Fetal Fibro General 2,ATAC-seq,,,catlas
kai97,single_cell,Fetal Fibro General 3,ATAC-seq,,,catlas
kai98,single_cell,Fetal Fibro General 4,ATAC-seq,,,catlas
kai99,single_cell,Fetal Fibro General 5,ATAC-seq,,,catlas
kai100,single_cell,Fetal Fibro Muscle 1,ATAC-seq,,,catlas
kai101,single_cell,Fetal Fibro Placental 1,ATAC-seq,,,catlas
kai102,single_cell,Fetal Fibro Placental 2,ATAC-seq,,,catlas
kai103,single_cell,Fetal Fibro Splenic,ATAC-seq,,,catlas
kai104,single_cell,Fetal Gastri Goblet,ATAC-seq,,,catlas
kai105,single_cell,Fetal Goblet,ATAC-seq,,,catlas
kai106,single_cell,Fetal Hematopoeitic Stem,ATAC-seq,,,catlas
kai107,single_cell,Fetal Hepatoblast,ATAC-seq,,,catlas
kai108,single_cell,Fetal Inhibitory Neuron 1,ATAC-seq,,,catlas
kai109,single_cell,Fetal Inhibitory Neuron 2,ATAC-seq,,,catlas
kai110,single_cell,Fetal Inhibitory Neuron 3,ATAC-seq,,,catlas
kai111,single_cell,Fetal Inhibitory Neuron 4,ATAC-seq,,,catlas
kai112,single_cell,Fetal Inhibitory Neuron 5,ATAC-seq,,,catlas
kai113,single_cell,Fetal Islet,ATAC-seq,,,catlas
kai114,single_cell,Fetal Lymphatic,ATAC-seq,,,catlas
kai115,single_cell,Fetal Macrophage General 1,ATAC-seq,,,catlas
kai116,single_cell,Fetal Macrophage General 2,ATAC-seq,,,catlas
kai117,single_cell,Fetal Macrophage General 3,ATAC-seq,,,catlas
kai118,single_cell,Fetal Macrophage General 4,ATAC-seq,,,catlas
kai119,single_cell,Fetal Macrophage Hepatic 1,ATAC-seq,,,catlas
kai120,single_cell,Fetal Macrophage Hepatic 2,ATAC-seq,,,catlas
kai121,single_cell,Fetal Macrophage Hepatic 3,ATAC-seq,,,catlas
kai122,single_cell,Fetal Macrophage Placental,ATAC-seq,,,catlas
kai123,single_cell,Fetal Megakaryocyte,ATAC-seq,,,catlas
