variant_type,delta_col,mean,std
snp,D_BED_protein_coding_gene,-0.00018525995019600433,0.011704701419431605
snp,D_BED_lncRNA,-0.00030744673224548117,0.010362212479251929
snp,D_BED_exon,-0.0013766196062867967,0.02322762884615065
snp,D_BED_intron,0.0011444280259350998,0.022198063988743796
snp,D_BED_splice_donor,-0.0013679349663145999,0.02148898830881509
snp,D_BED_splice_acceptor,0.00020345140927128939,0.015207858447907664
snp,D_BED_CTCF-bound,3.0773292927768547e-06,0.011006699485063672
snp,D_BED_polyA_signal,0.002584461565017521,0.02804068448470746
snp,D_BED_enhancer_Tissue_specific,-0.00017008296336926934,0.029071491750881095
snp,D_BED_enhancer_Tissue_invariant,0.00020512930958573587,0.011174086084621584
snp,D_BED_promoter_Tissue_specific,0.0003565486157788103,0.013341061160620686
snp,D_BED_promoter_Tissue_invariant,-0.00017991705457321726,0.005997785440300384
snp,D_BED_5UTR+,-0.00013931402034545617,0.014751617151870065
snp,D_BED_5UTR-,-8.925748282845001e-05,0.014001851896843548
snp,D_BED_3UTR+,0.00011683392985704013,0.009941742111967189
snp,D_BED_3UTR-,9.679419955730728e-06,0.008681715043951231
snp,D_BED_skipped_exon,-0.0010724766488370095,0.022006985552677154
snp,D_BED_always_on_exon,-0.0005343070109454422,0.021416943709822476
snp,D_BED_start_codon,0.0017292022523987625,0.03234812256463504
snp,D_BED_stop_codon,0.0025190277842249576,0.026533007281146413
snp,D_BED_ORF,-0.0015383470944789611,0.026242850270737205
snp,D_BW_ENCSR391NPE,0.00025780928822664113,0.00892102482052285
snp,D_BW_ENCSR777CQW,0.0002953105407138156,0.008909740113576283
snp,D_BW_ENCSR932KWJ,0.00047733899938245104,0.014176698714319534
snp,D_BW_ENCSR000ELW,0.0005670808574073335,0.014646616558257684
snp,D_BW_ENCSR000AUI,0.00028492211658730465,0.011099302337684611
snp,D_BW_ENCSR000AVF,0.00028408390398208913,0.009228643048230014
snp,D_BW_ENCSR000AUK,0.0002904001591552017,0.006941175042065798
snp,D_BW_ENCSR000AUM,0.0005013082813248675,0.010298398792782664
snp,D_BW_ENCSR000ASH,0.00026694442280846784,0.007823926519180789
snp,D_BW_ENCSR000AST,0.00022162806210864304,0.008254076546757232
snp,D_BW_ENCSR000DPD,8.138859819652687e-05,0.007780006144504262
snp,D_BW_ENCSR000ASV,0.00034532778156109344,0.009268851687350123
snp,D_BW_ENCSR000AUN,0.0002829433729251226,0.005779353051043081
snp,D_BW_ENCSR346JWH,0.00020072619693401532,0.014339811144091481
snp,D_BW_ENCSR714TJD,0.00012167465483021532,0.00835610279422116
snp,D_BW_ENCSR747BYL,0.0002610599192289206,0.006363336710056852
snp,D_BW_ENCSR581PUR,0.00010501698423654605,0.005849111576493037
snp,D_BW_ENCSR521IZK,0.00031907099625493724,0.010722616833472169
snp,D_BW_ENCSR435FGK,4.129659416329148e-09,0.006282955994381003
snp,D_BW_ENCSR988EGR,0.00020473308415494413,0.005004338950702183
snp,D_BW_ENCSR059MVB,0.00021813173069913164,0.009693473775481992
snp,D_BW_ENCSR475NLR,0.0003830362588931353,0.007847441630869142
snp,D_BW_ENCSR897FOZ,0.00020039997931219574,0.006472141373645423
snp,D_BW_ENCSR726ZZX,0.0005394277568811026,0.011560916661140655
snp,D_BW_ENCSR778VGY,0.00019141295208380772,0.00739174561692774
snp,D_BW_ENCSR257BGZ,0.00012279636839516143,0.013194953223126554
snp,D_BW_ENCSR000ELX,0.0005936495195596646,0.01420339556440136
snp,D_BW_ENCSR000DPI,0.00021164421724458027,0.007437422214305329
snp,D_BW_ENCSR000ELY,0.0004569470277454099,0.01425060917058367
snp,D_BW_ENCSR000DPL,0.0004950873203511931,0.014020832443918392
snp,D_BW_ENCSR000DPK,0.0005816137656951562,0.010335430273630848
snp,D_BW_ENCSR000DPO,0.00022114912668863934,0.007580812059425491
snp,D_BW_ENCSR000DPJ,-0.0004922996442287397,0.014650010544310555
snp,D_BW_ENCSR000EIV,0.0005298568493025934,0.011006771881334405
snp,D_BW_ENCSR000EIW,0.0003038135763162222,0.010234937778277298
snp,D_BW_ENCSR000ELZ,0.00046086348911635896,0.01536087425666979
snp,D_BW_ENCSR000DPR,4.6191456863003916e-05,0.008135088177464106
snp,D_BW_ENCSR000EMA,0.00033395283051535613,0.01401480459034678
snp,D_BW_ENCSR000DPU,7.892704099162012e-05,0.006807099414632667
snp,D_BW_ENCSR000EMB,0.0003850218609102771,0.015764340951550656
snp,D_BW_ENCSR000DPX,0.0004030480153030819,0.00791870513230579
snp,D_BW_ENCSR000EIX,0.0002195035131313862,0.010733021186281118
snp,D_BW_ENCSR000EMD,0.0005658018951996778,0.01914971611621496
snp,D_BW_ENCSR000DQB,0.00021993382555297297,0.007817781733132342
snp,D_BW_ENCSR000EME,0.00017447713284920424,0.01497604955391714
snp,D_BW_ENCSR000DQG,0.000996168043750983,0.012420799235183294
snp,D_BW_ENCSR000DQF,0.0002278587788852871,0.01074018529237179
snp,D_BW_ENCSR000DQH,6.936182960485801e-05,0.0062732054989718565
snp,D_BW_ENCSR279KIX,0.00022316883262406048,0.011102653696273349
snp,D_BW_ENCSR000EMN,0.00022394007915615017,0.016775628080936678
snp,D_BW_ENCSR000EKI,-0.00030959987232827735,0.011051982413103068
snp,D_BW_ENCSR000DQL,0.0010831877525545592,0.012330910413828682
snp,D_BW_ENCSR000DQK,0.0006324763163032695,0.010939615774759224
snp,D_BW_ENCSR000DQM,6.781250684179811e-05,0.0074734330393538525
snp,D_BW_ENCSR515EWI,-9.541628388767568e-05,0.01357925583137941
snp,D_BW_ENCSR000ELA,0.0003912168435561351,0.008817575023720828
snp,D_BW_ENCSR000AQW,0.0007295769281112231,0.010141977970800211
snp,D_BW_ENCSR000ASX,0.0005064604405918692,0.008024614911201489
