Element,Pathogenic_Mean,Pathogenic_SEM,Pathogenic_CI_Lower,Pathogenic_CI_Upper,Benign_Mean,Benign_SEM,Benign_CI_Lower,Benign_CI_Upper,Difference_Benign_minus_Path,Diff_CI_Lower,Diff_CI_Upper,Cohens_d,P_Value,N_Pathogenic,N_Benign,Significant
polyA_signal,0.019676121877329,0.00011115597466391724,0.019458248318888923,0.019893995435769075,0.022909745579233698,0.00011967667177313295,0.02267516844510105,0.023144322713366347,0.003233623701904699,0.002913488096425018,0.00355375930738438,0.1962377112805325,8.16284504063418e-87,22252,18720,True
protein_coding_gene,0.007985357659209788,7.828386434442857e-05,0.007831915757910913,0.008138799560508662,0.007419896136539487,6.617764447894248e-05,0.007290181949509391,0.007549610323569583,-0.0005654615226703009,-0.0007663767627221921,-0.0003645462826184097,-0.05411768994627714,3.483539064574022e-08,22252,18720,True
CTCF-bound,0.005619525329919243,6.750433208296388e-05,0.005487212072935044,0.005751838586903442,0.004977972810699454,7.175024115385002e-05,0.004837335828622426,0.005118609792776483,-0.0006415525192197888,-0.0008346392007921938,-0.00044846583764738374,-0.06451576247490408,7.487023836889576e-11,22252,18720,True
3UTR+,0.00698961436827775,7.687572288672049e-05,0.0068389325236569406,0.00714029621289856,0.0058709497805202225,5.8647175226620475e-05,0.005755995996413366,0.005985903564627079,-0.0011186645877575277,-0.0013081811618225272,-0.0009291480136925281,-0.11303279967222335,6.606265140926877e-31,22252,18720,True
lncRNA,0.008162607450916112,6.867125203949478e-05,0.008028006948427452,0.008297207953404773,0.007014779743646932,5.5789759405034e-05,0.006905426753784452,0.007124132733509412,-0.0011478277072691804,-0.0013212432761428212,-0.0009744121383955396,-0.12706642386422398,2.074180325224611e-38,22252,18720,True
promoter_Tissue_invariant,0.004790363984859498,4.8704465738065044e-05,0.004694899793264229,0.0048858281764547675,0.0036270911786426656,3.4938308421921876e-05,0.0035586089244186063,0.003695573432866725,-0.0011632728062168328,-0.0012807553170384584,-0.0010457902953952072,-0.18916160849573752,1.6684405944821096e-83,22252,18720,True
3UTR-,0.006760649804950682,7.395258543540191e-05,0.006615697516120767,0.006905602093780597,0.004830878569233531,5.272371030106547e-05,0.004727535313776786,0.004934221824690276,-0.001929771235717151,-0.0021077838538033937,-0.001751758617630908,-0.20705180696781048,1.2860373849681975e-99,22252,18720,True
promoter_Tissue_specific,0.010095067307312506,9.689757627465793e-05,0.009905141216420771,0.010284993398204241,0.00807305367523083,7.767414864266946e-05,0.00792080529703954,0.00822530205342212,-0.0020220136320816765,-0.0022654201732798794,-0.0017786070908834737,-0.15938916986625262,2.0518725597107273e-59,22252,18720,True
splice_acceptor,0.011976934521331892,0.00013342939868882781,0.011715403479201672,0.012238465563462112,0.009537186471618012,8.659326392499284e-05,0.009367455818302192,0.009706917124933831,-0.002439748049713881,-0.002751516211007471,-0.002127979888420291,-0.1489575273016488,6.1943047707172275e-53,22252,18720,True
stop_codon,0.02286824595491845,0.00014583913703985194,0.022582390949438324,0.023154100960398574,0.020266251049116932,0.0001265166645638993,0.020018266908567967,0.020514235189665896,-0.002601994905801517,-0.002980409544529084,-0.00222358026707395,-0.1323592069602053,2.616870055419463e-41,22252,18720,True
