track_id,display_name,delta,track_type,ref_val,alt_val,abs_delta,rank
exon,exon,-0.564453125,BED,0.8671875,0.302734375,0.564453125,1
ORF,ORF,-0.537109375,BED,0.828125,0.291015625,0.537109375,2
intron,intron,0.45703125,BED,0.18359375,0.640625,0.45703125,3
always_on_exon,Always-on exon,-0.4375,BED,0.68359375,0.24609375,0.4375,4
CNhs11943_M,breast carcinoma cell line | CAGE,0.171875,BigWig,0.625,0.796875,0.171875,5
CNhs12838_M,merkel cell carcinoma cell line | CAGE,0.16796875,BigWig,0.61328125,0.78125,0.16796875,6
CNhs10884_M,Small Airway Epithelial Cells | CAGE,0.1640625,BigWig,0.6484375,0.8125,0.1640625,7
CNhs14245_M,"lung adenocarcinoma, papillary cell line | CAGE",0.1484375,BigWig,0.68359375,0.83203125,0.1484375,9
CNhs10632_M,"testis, adult, pool1 | CAGE",0.1484375,BigWig,0.671875,0.8203125,0.1484375,10
protein_coding_gene,Protein-coding gene,-0.15625,BED,0.828125,0.671875,0.15625,8
CNhs14244_M,carcinoid cell line | CAGE,0.14453125,BigWig,0.55078125,0.6953125,0.14453125,11
CNhs11944_M,mixed mullerian tumor cell line | CAGE,0.14453125,BigWig,0.5625,0.70703125,0.14453125,12
GTEX-1I4MK-0002-SM-EZ6M9.1,blood | RNA-seq,-0.14453125,BigWig,0.98046875,0.8359375,0.14453125,13
CNhs11824_M,glassy cell carcinoma cell line | CAGE,0.1328125,BigWig,0.65234375,0.78515625,0.1328125,14
CNhs10616_M,"bladder, adult, pool1 | CAGE",0.1328125,BigWig,0.60546875,0.73828125,0.1328125,15
CNhs13809_M,medial temporal gyrus - adult | CAGE,0.1328125,BigWig,0.6015625,0.734375,0.1328125,16
CNhs12851_M,"seminal vesicle, adult | CAGE",0.1328125,BigWig,0.69921875,0.83203125,0.1328125,17
splice_acceptor,splice acceptor,0.1298828125,BED,0.111328125,0.2412109375,0.1298828125,18
CNhs10866_M,Fibroblast - Gingival | CAGE,0.12890625,BigWig,0.5234375,0.65234375,0.12890625,19
CNhs10627_M,"placenta, adult, pool1 | CAGE",0.12890625,BigWig,0.625,0.75390625,0.12890625,20
CNhs13477_M,"Hep-2 cells treated with Streptococci strain 5448, biol",0.125,BigWig,0.58984375,0.71484375,0.125,21
CNhs12362_M,testicular germ cell embryonal carcinoma cell line | CA,0.125,BigWig,0.58984375,0.71484375,0.125,22
CNhs11762_P,"eye, fetal | CAGE",-0.125,BigWig,0.62890625,0.50390625,0.125,23
ENCSR221ZRM,trophoblast | Histone ChIP-seq | H3K27me3,0.12109375,BigWig,0.66796875,0.7890625,0.12109375,24
CNhs11892_M,Wilms' tumor cell line | CAGE,0.12109375,BigWig,0.58203125,0.703125,0.12109375,25
CNhs11869_M,somatostatinoma cell line | CAGE,0.12109375,BigWig,0.58203125,0.703125,0.12109375,26
CNhs11878_M,teratocarcinoma cell line | CAGE,0.12109375,BigWig,0.55078125,0.671875,0.12109375,27
CNhs11876_M,testicular germ cell embryonal carcinoma cell line | CA,0.12109375,BigWig,0.58203125,0.703125,0.12109375,28
CNhs13816_M,Olfactory epithelial cells | CAGE,0.12109375,BigWig,0.52734375,0.6484375,0.12109375,29
CNhs10617_M,"brain, adult, pool1 | CAGE",0.12109375,BigWig,0.69140625,0.8125,0.12109375,30
CNhs12847_M,"epididymis, adult | CAGE",0.12109375,BigWig,0.65234375,0.7734375,0.12109375,31
CNhs10743_M,epidermoid carcinoma cell line | CAGE,0.1171875,BigWig,0.58984375,0.70703125,0.1171875,32
CNhs10855_M,"Dendritic Cells - monocyte immature derived, tech  | CA",0.1171875,BigWig,0.6484375,0.765625,0.1171875,33
CNhs10621_M,"heart, adult, pool1 | CAGE",0.1171875,BigWig,0.5703125,0.6875,0.1171875,34
GTEX-139TS-0008-SM-62LDG.1,skin | RNA-seq,-0.1171875,BigWig,0.9921875,0.875,0.1171875,35
CNhs11047_M,embryonic kidney cell line | CAGE,0.11328125,BigWig,0.546875,0.66015625,0.11328125,36
CNhs12855_M,"heart - mitral valve, adult | CAGE",0.11328125,BigWig,0.578125,0.69140625,0.11328125,37
GTEX-1OKEX-0006-SM-DKPQ2.1,blood | RNA-seq,-0.11328125,BigWig,1.0,0.88671875,0.11328125,38
CNhs11252_M,squamous cell carcinoma cell line | CAGE,0.109375,BigWig,0.61328125,0.72265625,0.109375,39
CNhs12324_M,"putamen, adult | CAGE",0.109375,BigWig,0.6875,0.796875,0.109375,40
CNhs13479_M,"Hep-2 cells mock treated, biol  | CAGE",0.10546875,BigWig,0.58984375,0.6953125,0.10546875,41
CNhs11256_M,gall bladder carcinoma cell line | CAGE,0.10546875,BigWig,0.56640625,0.671875,0.10546875,42
CNhs11856_M,pagetoid sarcoma cell line | CAGE,0.10546875,BigWig,0.58203125,0.6875,0.10546875,43
CNhs11972_M,Prostate Epithelial Cells | CAGE,0.10546875,BigWig,0.59375,0.69921875,0.10546875,44
CNhs10640_M,"pons, adult, pool1 | CAGE",0.10546875,BigWig,0.62890625,0.734375,0.10546875,45
CNhs13478_M,"Hep-2 cells treated with Streptococci strain JRS4, biol",0.1015625,BigWig,0.59375,0.6953125,0.1015625,46
CNhs11840_M,bronchioalveolar carcinoma cell line | CAGE,0.1015625,BigWig,0.56640625,0.66796875,0.1015625,47
CNhs11875_M,choriocarcinoma cell line | CAGE,0.1015625,BigWig,0.62890625,0.73046875,0.1015625,48
CNhs11051_M,Adipocyte - breast | CAGE,0.1015625,BigWig,0.53515625,0.63671875,0.1015625,49
CNhs12379_M,amniotic membrane cells | CAGE,0.1015625,BigWig,0.69921875,0.80078125,0.1015625,50
CNhs12810_M,salivary acinar cells | CAGE,0.1015625,BigWig,0.65234375,0.75390625,0.1015625,51
CNhs10649_M,"corpus callosum, adult, pool1 | CAGE",0.1015625,BigWig,0.61328125,0.71484375,0.1015625,52
CNhs12322_P,"locus coeruleus, adult | CAGE",-0.1015625,BigWig,0.609375,0.5078125,0.1015625,53
CNhs10643_M,"occipital pole, adult, pool1 | CAGE",0.1015625,BigWig,0.59765625,0.69921875,0.1015625,54
CNhs12611_M,"olfactory region, adult | CAGE",0.1015625,BigWig,0.65625,0.7578125,0.1015625,55
CNhs10635_M,"trachea, adult, pool1 | CAGE",0.1015625,BigWig,0.64453125,0.74609375,0.1015625,56
ENCSR385SZQ,MCF 10A | DNase-seq,-0.09765625,BigWig,0.75390625,0.65625,0.09765625,57
CNhs11737_M,gastric adenocarcinoma cell line | CAGE,0.09765625,BigWig,0.56640625,0.6640625,0.09765625,58
CNhs11255_M,rectal cancer cell line | CAGE,0.09765625,BigWig,0.5859375,0.68359375,0.09765625,59
CNhs11884_M,teratocarcinoma cell line | CAGE,0.09765625,BigWig,0.56640625,0.6640625,0.09765625,60
CNhs10871_M,Ciliary Epithelial Cells | CAGE,0.09765625,BigWig,0.53125,0.62890625,0.09765625,61
CNhs11084_M,Skeletal muscle cells differentiated into Myotubes - mu,0.09765625,BigWig,0.51953125,0.6171875,0.09765625,62
CNhs12846_M,"ductus deferens, adult | CAGE",0.09765625,BigWig,0.59765625,0.6953125,0.09765625,63
CNhs10647_M,"frontal lobe, adult, pool1 | CAGE",0.09765625,BigWig,0.57421875,0.671875,0.09765625,64
CNhs10625_M,"lung, adult, pool1 | CAGE",0.09765625,BigWig,0.63671875,0.734375,0.09765625,65
CNhs10634_M,"thyroid, adult, pool1 | CAGE",0.09765625,BigWig,0.64453125,0.7421875,0.09765625,66
CNhs10736_M,breast carcinoma cell line | CAGE,0.09375,BigWig,0.5703125,0.6640625,0.09375,67
CNhs11247_M,epithelioid sarcoma cell line | CAGE,0.09375,BigWig,0.54296875,0.63671875,0.09375,68
CNhs10730_M,malignant trichilemmal cyst cell line | CAGE,0.09375,BigWig,0.53125,0.625,0.09375,69
CNhs11243_M,prostate cancer cell line | CAGE,0.09375,BigWig,0.56640625,0.66015625,0.09375,70
CNhs11378_M,Fibroblast - Cardiac | CAGE,0.09375,BigWig,0.53125,0.625,0.09375,71
CNhs13808_M,locus coeruleus - adult | CAGE,0.09375,BigWig,0.6484375,0.7421875,0.09375,72
CNhs12310_M,"medial frontal gyrus, adult | CAGE",0.09375,BigWig,0.625,0.71875,0.09375,73
CNhs12320_M,"occipital cortex, adult | CAGE",0.09375,BigWig,0.609375,0.703125,0.09375,74
CNhs10628_M,"prostate, adult, pool1 | CAGE",0.09375,BigWig,0.57421875,0.66796875,0.09375,75
CNhs11049_M,cord blood derived cell line | CAGE,0.08984375,BigWig,0.51953125,0.609375,0.08984375,76
CNhs12839_M,merkel cell carcinoma cell line | CAGE,0.08984375,BigWig,0.55859375,0.6484375,0.08984375,77
CNhs12000_M,Dendritic Cells - monocyte immature derived | CAGE,0.08984375,BigWig,0.62890625,0.71875,0.08984375,78
CNhs11903_M,"Gingival epithelial cells,  (GEA15) | CAGE",0.08984375,BigWig,0.56640625,0.65625,0.08984375,79
CNhs12346_P,Melanocyte - dark | CAGE,-0.08984375,BigWig,0.59765625,0.5078125,0.08984375,80
CNhs12380_M,chorionic membrane cells | CAGE,0.08984375,BigWig,0.72265625,0.8125,0.08984375,81
CNhs10618_M,"cervix, adult, pool1 | CAGE",0.08984375,BigWig,0.58984375,0.6796875,0.08984375,82
CNhs10645_M,"medulla oblongata, adult, pool1 | CAGE",0.08984375,BigWig,0.6171875,0.70703125,0.08984375,83
CNhs12850_M,"penis, adult | CAGE",0.08984375,BigWig,0.6640625,0.75390625,0.08984375,84
CNhs10637_M,"temporal lobe, adult, pool1 | CAGE",0.08984375,BigWig,0.609375,0.69921875,0.08984375,85
CNhs10634_P,"thyroid, adult, pool1 | CAGE",-0.08984375,BigWig,0.59375,0.50390625,0.08984375,86
GTEX-1LB8K-0005-SM-DIPED.1,blood | RNA-seq,-0.08984375,BigWig,0.99609375,0.90625,0.08984375,87
ENCSR000ELO,psoas muscle | DNase-seq,0.0859375,BigWig,0.7890625,0.875,0.0859375,88
CNhs11930_M,clear cell carcinoma cell line | CAGE,0.0859375,BigWig,0.57421875,0.66015625,0.0859375,89
